in_gene	out_gene	branch_support	ev_type	sos
Tetwil_Twilhelma_g15428.t1	Tadh_P61619	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Tadh_P61617	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Coka_g19411.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g28814.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g11511.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Coka_g15723.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g21317.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Ptyfla_pfl_40v0_9_20150316_1g5343.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Phoaus_g1151.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Phoaus_g4028.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g6957.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Amobb2_AMBB2_05000.mRNA.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Tadh_P60070	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g21320.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Phoaus_g8015.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g6956.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g6341.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Bralan_BL01496_cuf6	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Morelo_OAQ23481	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g6958.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g33605.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Plebac_Pbla_mRNA_3673	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Tadh_P60069	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Concor_KXN65666	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Mbre_EDQ88171	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Ctel_CapteP189205	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g5008.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g9620.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Phoaus_g4027.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Manpla_Gene.35666	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Fabtro_Gene.5560	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g23964.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Ctel_CapteP214428	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Maljak_MALJA_04697.mRNA.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g21322.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Tadh_P61616	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Jaklib_JAKLI_19427.mRNA.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Ctel_CapteP217693	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Tadh_P61594	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Oxytri_EJY78006	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g11509.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Cscu_XP_023228919.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Concor_KXN69212	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Phoaus_g4790.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g19715.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Linana_g2019.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Tadh_P62132	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g16229.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Porpur_KAA8499265.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Manpla_Gene.53081	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Notgen_g21318.t1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Umbram_228877	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Cscu_XP_023239090.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Pbla_XP_018295526.1	1.0	S	0.0
Tetwil_Twilhelma_g15428.t1	Vitbra_CEL98402.1	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P61619	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P61617	1.0	S	0.0
Exapal_XP_020900847.1	Coka_g19411.t1	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g28814.t1	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g11511.t1	1.0	S	0.0
Exapal_XP_020900847.1	Coka_g15723.t1	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g21317.t1	1.0	S	0.0
Exapal_XP_020900847.1	Ptyfla_pfl_40v0_9_20150316_1g5343.t1	1.0	S	0.0
Exapal_XP_020900847.1	Phoaus_g1151.t1	1.0	S	0.0
Exapal_XP_020900847.1	Phoaus_g4028.t1	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g6957.t1	1.0	S	0.0
Exapal_XP_020900847.1	Amobb2_AMBB2_05000.mRNA.1	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P60070	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g21320.t1	1.0	S	0.0
Exapal_XP_020900847.1	Phoaus_g8015.t1	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g6956.t1	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g6341.t1	1.0	S	0.0
Exapal_XP_020900847.1	Bralan_BL01496_cuf6	1.0	S	0.0
Exapal_XP_020900847.1	Morelo_OAQ23481	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g6958.t1	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g33605.t1	1.0	S	0.0
Exapal_XP_020900847.1	Plebac_Pbla_mRNA_3673	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P60069	1.0	S	0.0
Exapal_XP_020900847.1	Concor_KXN65666	1.0	S	0.0
Exapal_XP_020900847.1	Mbre_EDQ88171	1.0	S	0.0
Exapal_XP_020900847.1	Ctel_CapteP189205	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g5008.t1	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g9620.t1	1.0	S	0.0
Exapal_XP_020900847.1	Phoaus_g4027.t1	1.0	S	0.0
Exapal_XP_020900847.1	Manpla_Gene.35666	1.0	S	0.0
Exapal_XP_020900847.1	Fabtro_Gene.5560	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g23964.t1	1.0	S	0.0
Exapal_XP_020900847.1	Ctel_CapteP214428	1.0	S	0.0
Exapal_XP_020900847.1	Maljak_MALJA_04697.mRNA.1	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g21322.t1	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P61616	1.0	S	0.0
Exapal_XP_020900847.1	Jaklib_JAKLI_19427.mRNA.1	1.0	S	0.0
Exapal_XP_020900847.1	Ctel_CapteP217693	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P61594	1.0	S	0.0
Exapal_XP_020900847.1	Oxytri_EJY78006	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g11509.t1	1.0	S	0.0
Exapal_XP_020900847.1	Cscu_XP_023228919.1	1.0	S	0.0
Exapal_XP_020900847.1	Concor_KXN69212	1.0	S	0.0
Exapal_XP_020900847.1	Phoaus_g4790.t1	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g19715.t1	1.0	S	0.0
Exapal_XP_020900847.1	Linana_g2019.t1	1.0	S	0.0
Exapal_XP_020900847.1	Tadh_P62132	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g16229.t1	1.0	S	0.0
Exapal_XP_020900847.1	Porpur_KAA8499265.1	1.0	S	0.0
Exapal_XP_020900847.1	Manpla_Gene.53081	1.0	S	0.0
Exapal_XP_020900847.1	Notgen_g21318.t1	1.0	S	0.0
Exapal_XP_020900847.1	Umbram_228877	1.0	S	0.0
Exapal_XP_020900847.1	Cscu_XP_023239090.1	1.0	S	0.0
Exapal_XP_020900847.1	Pbla_XP_018295526.1	1.0	S	0.0
Exapal_XP_020900847.1	Vitbra_CEL98402.1	1.0	S	0.0
