gene	orthogroup	orthologous_to
Diprot_Gene.19815	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Plebac_Pbla_mRNA_16233	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Pbla_XP_018283463.1	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Alblai_CCA27663	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Coka_g16663.t1	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Coka_g16663.t2	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Ptet_CAK61413	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Pinf_PITG_03696T0	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Recame_RECAM_19329.mRNA.1	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Mcir_OAD07663	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Manpla_Gene.17729	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Esil_CBJ25856	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Sappar_KDO26804	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Hydvul_Sc4wPfr_391.g24724.t1	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Diprot_Gene.1625	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Amobb2_AMBB2_14103.mRNA.1	Nucleoplasmin.HG1.0:like:NPM1/NPM2/NPM3:likeclu:5	NA
Tcru_EAN86592	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Ptet_CAK64354	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Styinc_Gene1857_m1857	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Lcom_lcpid174363	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Meteor_CRO19MET_NODE_8087.p3	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Oxytri_EJY70885	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Cavfas_EGG24456	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Recame_RECAM_17836.mRNA.1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Jakbah_JAKBA_08307.mRNA.2	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Phakir_PHAKIR_08539.mRNA.1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Amobb2_AMBB2_11460.mRNA.1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Andgod_ANDGO_02938.mRNA.1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Phakir_PHAKIR_16282.mRNA.1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Jakbah_JAKBA_08307.mRNA.1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Ptet_CAK56115	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Lcom_lcpid200294	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Tthe_EAR84623	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Hemkuk_26299_TR8828_c1_g1	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Tthe_EAR91068	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Styinc_Gene1648_m1648	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
Cpar_Cpar_evm1s4408	Nucleoplasmin.HG1.1:like:NPM1/NPM2/NPM3:likeclu:5	NA
