in_gene	out_gene	branch_support	ev_type	sos
Clim_evm14s6	Hsap_ENSP00000252674.6	1.0	S	0.0
Clim_evm14s6	Helrob_HelroP178766	1.0	S	0.0
Clim_evm14s6	Skow_XP_002732768.1	1.0	S	0.0
Clim_evm14s6	Adig_XP_015751416.1	1.0	S	0.0
Clim_evm14s6	Cint_ENSCINP00000012639.3	1.0	S	0.0
Clim_evm14s6	Ptyfla_pfl_40v0_9_20150316_1g24843.t1	1.0	S	0.0
Clim_evm14s6	Tadh_P54575	1.0	S	0.0
Clim_evm14s6	Helrob_HelroP176525	1.0	S	0.0
Clim_evm14s6	Tcas_XP_008198626.1	1.0	S	0.0
Clim_evm14s6	Cscu_XP_023236281.1	1.0	S	0.0
Clim_evm14s6	Lpol_XP_013790797.1	1.0	S	0.0
Clim_evm14s6	Cscu_XP_023236276.1	1.0	S	0.0
Clim_evm14s6	Spis_XP_022780382_1	1.0	S	0.0
Clim_evm14s6	Dmel_FBpp0303072	1.0	S	0.0
Clim_evm14s6	Bralan_BL11433_evm0	1.0	S	0.0
Clim_evm14s6	Hsap_ENSP00000369695.4	1.0	S	0.0
Clim_evm14s6	Mlei_ML0343_g13_t1	1.0	S	0.0
Clim_evm14s6	Ocar_g4412.t1	1.0	S	0.0
Clim_evm14s6	Clyhem_TCONS_00020941-protein	1.0	S	0.0
Clim_evm14s6	Apla_XP_022110263.1	1.0	S	0.0
Clim_evm14s6	Notgen_g197.t1	1.0	S	0.0
Clim_evm14s6	Drer_ENSDARP00000151684.1	1.0	S	0.0
Clim_evm14s6	Cgig_EKC23802	1.0	S	0.0
Clim_evm14s6	Phoaus_g10812.t1	1.0	S	0.0
Clim_evm14s6	Drer_ENSDARP00000090508.3	1.0	S	0.0
Clim_evm14s6	Lpol_XP_013790442.1	1.0	S	0.0
Clim_evm14s6	Drer_ENSDARP00000004230.6	1.0	S	0.0
Clim_evm14s6	Helrob_HelroP176701	1.0	S	0.0
Clim_evm14s6	Helrob_HelroP176487	1.0	S	0.0
Clim_evm14s6	Spur_XP_782465.1	1.0	S	0.0
Clim_evm14s6	Ramvar_GAU96101.1	1.0	S	0.0
Clim_evm14s6	Aque_Aqu2.1.31338_001	1.0	S	0.0
Clim_evm14s6	Emue_0009g1216a	1.0	S	0.0
Clim_evm14s6	Dpul_EFX74182	1.0	S	0.0
Clim_evm14s6	Hduj_OQV18178.1	1.0	S	0.0
Clim_evm14s6	Morvir_scaffold38.g10.t1	1.0	S	0.0
Clim_evm14s6	Exapal_XP_020904770.1	1.0	S	0.0
Clim_evm14s6	Nvec_NVE12157	1.0	S	0.0
Clim_evm14s6	Tetwil_Twilhelma_g23024.t1	1.0	S	0.0
Clim_evm14s6	Linana_g19806.t1	1.0	S	0.0
Clim_evm14s6	Hydvul_Sc4wPfr_161.g25568.t1	1.0	S	0.0
Clim_evm14s6	Cscu_XP_023236277.1	1.0	S	0.0
Diprot_Gene.34654	Hsap_ENSP00000252674.6	1.0	S	0.0
Diprot_Gene.34654	Helrob_HelroP178766	1.0	S	0.0
Diprot_Gene.34654	Skow_XP_002732768.1	1.0	S	0.0
Diprot_Gene.34654	Adig_XP_015751416.1	1.0	S	0.0
Diprot_Gene.34654	Cint_ENSCINP00000012639.3	1.0	S	0.0
Diprot_Gene.34654	Ptyfla_pfl_40v0_9_20150316_1g24843.t1	1.0	S	0.0
Diprot_Gene.34654	Tadh_P54575	1.0	S	0.0
Diprot_Gene.34654	Helrob_HelroP176525	1.0	S	0.0
Diprot_Gene.34654	Tcas_XP_008198626.1	1.0	S	0.0
Diprot_Gene.34654	Cscu_XP_023236281.1	1.0	S	0.0
Diprot_Gene.34654	Lpol_XP_013790797.1	1.0	S	0.0
Diprot_Gene.34654	Cscu_XP_023236276.1	1.0	S	0.0
Diprot_Gene.34654	Spis_XP_022780382_1	1.0	S	0.0
Diprot_Gene.34654	Dmel_FBpp0303072	1.0	S	0.0
Diprot_Gene.34654	Bralan_BL11433_evm0	1.0	S	0.0
Diprot_Gene.34654	Hsap_ENSP00000369695.4	1.0	S	0.0
Diprot_Gene.34654	Mlei_ML0343_g13_t1	1.0	S	0.0
Diprot_Gene.34654	Ocar_g4412.t1	1.0	S	0.0
Diprot_Gene.34654	Clyhem_TCONS_00020941-protein	1.0	S	0.0
Diprot_Gene.34654	Apla_XP_022110263.1	1.0	S	0.0
Diprot_Gene.34654	Notgen_g197.t1	1.0	S	0.0
Diprot_Gene.34654	Drer_ENSDARP00000151684.1	1.0	S	0.0
Diprot_Gene.34654	Cgig_EKC23802	1.0	S	0.0
Diprot_Gene.34654	Phoaus_g10812.t1	1.0	S	0.0
Diprot_Gene.34654	Drer_ENSDARP00000090508.3	1.0	S	0.0
Diprot_Gene.34654	Lpol_XP_013790442.1	1.0	S	0.0
Diprot_Gene.34654	Drer_ENSDARP00000004230.6	1.0	S	0.0
Diprot_Gene.34654	Helrob_HelroP176701	1.0	S	0.0
Diprot_Gene.34654	Helrob_HelroP176487	1.0	S	0.0
Diprot_Gene.34654	Spur_XP_782465.1	1.0	S	0.0
Diprot_Gene.34654	Ramvar_GAU96101.1	1.0	S	0.0
Diprot_Gene.34654	Aque_Aqu2.1.31338_001	1.0	S	0.0
Diprot_Gene.34654	Emue_0009g1216a	1.0	S	0.0
Diprot_Gene.34654	Dpul_EFX74182	1.0	S	0.0
Diprot_Gene.34654	Hduj_OQV18178.1	1.0	S	0.0
Diprot_Gene.34654	Morvir_scaffold38.g10.t1	1.0	S	0.0
Diprot_Gene.34654	Exapal_XP_020904770.1	1.0	S	0.0
Diprot_Gene.34654	Nvec_NVE12157	1.0	S	0.0
Diprot_Gene.34654	Tetwil_Twilhelma_g23024.t1	1.0	S	0.0
Diprot_Gene.34654	Linana_g19806.t1	1.0	S	0.0
Diprot_Gene.34654	Hydvul_Sc4wPfr_161.g25568.t1	1.0	S	0.0
Diprot_Gene.34654	Cscu_XP_023236277.1	1.0	S	0.0
Diprot_Gene.23369	Hsap_ENSP00000252674.6	1.0	S	0.0
Diprot_Gene.23369	Helrob_HelroP178766	1.0	S	0.0
Diprot_Gene.23369	Skow_XP_002732768.1	1.0	S	0.0
Diprot_Gene.23369	Adig_XP_015751416.1	1.0	S	0.0
Diprot_Gene.23369	Cint_ENSCINP00000012639.3	1.0	S	0.0
Diprot_Gene.23369	Ptyfla_pfl_40v0_9_20150316_1g24843.t1	1.0	S	0.0
Diprot_Gene.23369	Tadh_P54575	1.0	S	0.0
Diprot_Gene.23369	Helrob_HelroP176525	1.0	S	0.0
