Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Notgen_g10141.t1	0	5517	0	1839	7.428238428
Notgen_g10649.t1	2142	2430	714	810	1727.849231
Notgen_g14251.t1	19	638	6	212	2.108108108
Notgen_g14251.t1	752	984	250	328	1.333333333
Notgen_g14498.t1	1	1851	0	617	24.00735786
Notgen_g16943.t1	185	365	61	121	1.333333333
Notgen_g16943.t1	556	963	185	321	1.333333333
Notgen_g16943.t1	1178	1372	392	457	1.333333333
Notgen_g16943.t1	1500	3771	500	1257	343.5530228
Notgen_g1820.t1	0	2400	0	800	30.18385949
Notgen_g18231.t1	0	412	0	137	21.9817296
Notgen_g18231.t1	416	4392	138	1464	6.974324775
Notgen_g20558.t1	23	2121	7	707	4.536697248
Notgen_g21261.t1	145	342	48	114	1.333333333
Notgen_g21261.t1	455	588	151	196	2
Notgen_g21261.t1	656	763	218	254	1.333333333
Notgen_g21261.t1	1176	1497	392	499	2.846153846
Notgen_g25118.t1	43	354	14	118	1.2
Notgen_g25118.t1	961	1061	320	353	1
Notgen_g28342.t1	56	223	18	74	1.333333333
Notgen_g28342.t1	462	1440	154	480	11.68661972
Notgen_g29130.t1	4	6017	1	2005	9.466878981
Notgen_g29796.t1	0	3606	0	1202	6.311868687
Notgen_g36785.t1	1178	1437	392	479	2.285714286
Notgen_g36785.t1	1455	1601	485	533	1
Notgen_g36785.t1	1665	1811	555	603	1
Notgen_g36785.t1	1962	2097	654	699	1.333333333
Notgen_g37061.t1	0	7698	0	2566	63.98128335
Notgen_g37703.t1	3538	3671	1179	1223	2
Notgen_g37890.t1	0	1385	0	461	13.18404908
Notgen_g37890.t1	1837	2148	612	716	1
Notgen_g37890.t1	2177	2760	725	920	2.52173913
Notgen_g37890.t1	2763	2991	921	997	1.166666667
Notgen_g37890.t1	3014	3932	1004	1310	2.25
Notgen_g37890.t1	4005	4151	1335	1383	1
Notgen_g37890.t1	4199	4382	1399	1460	1.25
Notgen_g37890.t1	4428	4711	1476	1570	1.555555556
Notgen_g38856.t1	1457	1662	485	554	1.333333333
Notgen_g38856.t1	1740	1958	580	652	1.333333333
Notgen_g39034.t1	0	301	0	100	1.714285714
Notgen_g39034.t1	345	1404	115	468	3.074074074
Notgen_g39178.t1	913	1208	304	402	1.6
Notgen_g40072.t1	0	133	0	44	2
Notgen_g40072.t1	293	452	97	150	3.333333333
Notgen_g40072.t1	499	1145	166	381	3.285714286
Notgen_g40072.t1	1187	1351	395	450	2.777777778
Notgen_g40072.t1	1405	2304	468	768	2.821428571
Notgen_g40072.t1	2377	3727	792	1242	2.385321101
Notgen_g40077.t1	7	391	2	130	3.88
Notgen_g40077.t1	461	594	153	198	1
Notgen_g40077.t1	630	763	210	254	1
Notgen_g40077.t1	1376	1979	458	659	1.7
Notgen_g40517.t1	75	350	25	116	1.2
Notgen_g40517.t1	687	787	229	262	1
Notgen_g40517.t1	815	993	271	331	1
Notgen_g40517.t1	1317	1655	439	551	3.769230769
Notgen_g40517.t1	1797	1897	599	632	1
Notgen_g40517.t1	1905	2016	635	672	1.333333333
Notgen_g40755.t1	0	2121	0	707	19.31784841
Notgen_g41571.t1	527	660	175	220	2
Notgen_g41571.t1	1414	1547	471	515	1
Notgen_g41571.t1	2911	3044	970	1014	1
Notgen_g41571.t1	3176	3309	1058	1103	2
Notgen_g41571.t1	3667	3864	1222	1288	1.2
Notgen_g41679.t1	0	3588	0	1196	24.48611931
Notgen_g41680.t1	1	663	0	221	15.30909091
Notgen_g5445.t1	0	1746	0	582	55.5782881
Notgen_g609.t1	0	1359	0	453	3.943925234
Notgen_g609.t1	1379	3977	459	1325	3.375
Notgen_g7191.t1	0	1971	0	657	23.39340102
Notgen_g9273.t1	0	1617	0	539	25.00390434
Notgen_g9443.t1	0	5547	0	1849	58.17175964
