Ngad_EWM30662	Ngad_1_1
Ngad_EWM30670	Ngad_1_2
Ngad_EWM30667	Ngad_1_3
Ngad_EWM30668	Ngad_1_4
Ngad_EWM30659	Ngad_1_5
Ngad_EWM30666	Ngad_1_6
Ngad_EWM30658	Ngad_1_7
Ngad_EWM30664	Ngad_1_8
Ngad_EWM30669	Ngad_1_9
Ngad_EWM30665	Ngad_1_10
Ngad_EWM30673	Ngad_1_11
Ngad_EWM30661	Ngad_1_12
Ngad_EWM30657	Ngad_1_13
Ngad_EWM30671	Ngad_1_14
Ngad_EWM30672	Ngad_1_15
Ngad_EWM30663	Ngad_1_16
Ngad_EWM30655	Ngad_1_17
Ngad_EWM30656	Ngad_1_18
Ngad_EWM30652	Ngad_1_19
Ngad_EWM30651	Ngad_1_20
Ngad_EWM30653	Ngad_1_21
Ngad_EWM30650	Ngad_1_22
Ngad_EWM30649	Ngad_1_23
Ngad_EWM30648	Ngad_1_24
Ngad_EWM30647	Ngad_1_25
Ngad_EWM30645	Ngad_1_26
Ngad_EWM30646	Ngad_1_27
Ngad_EWM30644	Ngad_1_28
Ngad_EWM30642	Ngad_1_29
Ngad_EWM30643	Ngad_1_30
Ngad_EWM30641	Ngad_1_31
Ngad_EWM30640	Ngad_1_32
Ngad_EWM30638	Ngad_1_33
Ngad_EWM30637	Ngad_1_34
Ngad_EWM30635	Ngad_1_35
Ngad_EWM30636	Ngad_1_36
Ngad_EWM30639	Ngad_1_37
Ngad_EWM30634	Ngad_1_38
Ngad_EWM30633	Ngad_1_39
Ngad_EWM30631	Ngad_1_40
Ngad_EWM30632	Ngad_1_41
Ngad_EWM30630	Ngad_1_42
Ngad_EWM30629	Ngad_1_43
Ngad_EWM30624	Ngad_1_44
Ngad_EWM30626	Ngad_1_45
Ngad_EWM30627	Ngad_1_46
Ngad_EWM30625	Ngad_1_47
Ngad_EWM30622	Ngad_1_48
Ngad_EWM30623	Ngad_1_49
Ngad_EWM30619	Ngad_1_50
Ngad_EWM30620	Ngad_1_51
Ngad_EWM30621	Ngad_1_52
Ngad_EWM30618	Ngad_1_53
Ngad_EWM30617	Ngad_1_54
Ngad_EWM30616	Ngad_1_55
Ngad_EWM30606	Ngad_1_56
Ngad_EWM30607	Ngad_1_57
Ngad_EWM30612	Ngad_1_58
Ngad_EWM30609	Ngad_1_59
Ngad_EWM30601	Ngad_1_60
Ngad_EWM30604	Ngad_1_61
Ngad_EWM30608	Ngad_1_62
Ngad_EWM30613	Ngad_1_63
Ngad_EWM30605	Ngad_1_64
Ngad_EWM30610	Ngad_1_65
Ngad_EWM30614	Ngad_1_66
Ngad_EWM30603	Ngad_1_67
Ngad_EWM30611	Ngad_1_68
Ngad_EWM30615	Ngad_1_69
Ngad_EWM30600	Ngad_1_70
Ngad_EWM30599	Ngad_1_71
Ngad_EWM30598	Ngad_1_72
Ngad_EWM30597	Ngad_1_73
Ngad_EWM30546	Ngad_1_74
Ngad_EWM30563	Ngad_1_75
Ngad_EWM30554	Ngad_1_76
Ngad_EWM30557	Ngad_1_77
Ngad_EWM30559	Ngad_1_78
Ngad_EWM30589	Ngad_1_79
Ngad_EWM30582	Ngad_1_80
Ngad_EWM30567	Ngad_1_81
Ngad_EWM30576	Ngad_1_82
Ngad_EWM30572	Ngad_1_83
Ngad_EWM30552	Ngad_1_84
Ngad_EWM30549	Ngad_1_85
Ngad_EWM30579	Ngad_1_86
Ngad_EWM30573	Ngad_1_87
Ngad_EWM30560	Ngad_1_88
Ngad_EWM30565	Ngad_1_89
Ngad_EWM30590	Ngad_1_90
Ngad_EWM30561	Ngad_1_91
Ngad_EWM30578	Ngad_1_92
Ngad_EWM30595	Ngad_1_93
Ngad_EWM30592	Ngad_1_94
Ngad_EWM30587	Ngad_1_95
Ngad_EWM30570	Ngad_1_96
Ngad_EWM30580	Ngad_1_97
Ngad_EWM30551	Ngad_1_98
Ngad_EWM30591	Ngad_1_99
Ngad_EWM30566	Ngad_1_100
Ngad_EWM30555	Ngad_1_101
Ngad_EWM30548	Ngad_1_102
Ngad_EWM30569	Ngad_1_103
Ngad_EWM30556	Ngad_1_104
Ngad_EWM30581	Ngad_1_105
Ngad_EWM30562	Ngad_1_106
Ngad_EWM30577	Ngad_1_107
Ngad_EWM30547	Ngad_1_108
Ngad_EWM30550	Ngad_1_109
Ngad_EWM30575	Ngad_1_110
Ngad_EWM30574	Ngad_1_111
Ngad_EWM30558	Ngad_1_112
