Mlei_ML4358_g19_t1	RVT_1 RRM_1 TUDOR TUDOR
Mlei_ML1463_g1_t1	rve Chromo
Mlei_ML0763_g19_t1	TUDOR dsrm DDE_Tnp_4
Mlei_ML1029_g2_t1	PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Mlei_ML1025_g4_t1	rve Chromo
