gene	orthogroup	orthologous_to
Malawimonadidae|Maljak_MALJA_13583.mRNA.1	aOG.eur_CAF1C0	
Amoebozoa|Cavfas_EGG20186	aOG.eur_CAF1C0	
ArchaeCry|Otau_XP_003079692.2	aOG.eur_CAF1C0	
Metamonada|Glam_EDO78518	aOG.eur_CAF1C0	
Metamonada|Tvag_XP_001328788.1	aOG.eur_CAF1C0	
ArchaeCry|Bdis_KQJ89556	aOG.eur_CAF1C0	
Amoebozoa|Hetalb_XP_020435279.1	aOG.eur_CAF1C0	
Discoba|Tcru_EAN97390	aOG.eur_CAF1C0	
Malawimonadidae|Maljak_MALJA_05605.mRNA.1	aOG.eur_CAF1C0	
Malawimonadidae|Malcal_MALCA_07066.mRNA.1	aOG.eur_CAF1C0	
Meteora|Meteor_CRO19MET_NODE_4452.p2	aOG.eur_CAF1C1	
Obazoa|Spis_XP_022780726_1	aOG.eur_CAF1C1	
SARHap|Alblai_CCA20692	aOG.eur_CAF1C1	
Ancyromonadida|Fabtro_Gene.10546	aOG.eur_CAF1C1	
Amoebozoa|Plafun_PRP74791	aOG.eur_CAF1C1	
Obazoa|Nvec_NVE8665	aOG.eur_CAF1C1	
Obazoa|Scer_YMR131C	aOG.eur_CAF1C1	
SARHap|Sappar_KDO34344	aOG.eur_CAF1C1	
CRuMs|Diprot_Gene.12214	aOG.eur_CAF1C1	
Obazoa|Umbram_239185	aOG.eur_CAF1C1	
Discoba|Amobb2_AMBB2_08178.mRNA.1	aOG.eur_CAF1C1	
Discoba|Secula_SECUL_09606.mRNA.1	aOG.eur_CAF1C1	
Discoba|Recame_RECAM_11066.mRNA.1	aOG.eur_CAF1C1	
ArchaeCry|Gonavo_comp28246_c0_seq1_6_ORF8_473	aOG.eur_CAF1C2	
ArchaeCry|Gthe_EKX40364	aOG.eur_CAF1C2	
Metamonada|Glam_EDO76521	aOG.eur_CAF1C3	
ArchaeCry|Chabra_GBG77620	aOG.eur_CAF1C3	
Ancyromonadida|Plamic_ANCSI_04315.mRNA.1	aOG.eur_CAF1C3	
Amoebozoa|Plafun_PRP85285	aOG.eur_CAF1C3	
ArchaeCry|Ulvmut_UM028_00451	aOG.eur_CAF1C3	
Discoba|Styinc_Gene10723_m10723	aOG.eur_CAF1C3	
Obazoa|Dmel_FBpp0082511	aOG.eur_CAF1C3	
Obazoa|Ihof_evm11s64	aOG.eur_CAF1C3	
Malawimonadidae|Malcal_MALCA_05175.mRNA.1	aOG.eur_CAF1C3	
ArchaeCry|Marpol_PTQ32257	aOG.eur_CAF1C3	
Obazoa|Dpul_EFX76181	aOG.eur_CAF1C3	
ArchaeCry|Klenit_GAQ89441.1	aOG.eur_CAF1C3	
Hemimastigophora|Hemkuk_14790_TR5018_c0_g1	aOG.eur_CAF1C3	
SARHap|Chrtob_KOO31798.1	aOG.eur_CAF1C3	
Discoba|Amobb2_AMBB2_07787.mRNA.1	aOG.eur_CAF1C3	
SARHap|Ptet_CAK94074	aOG.eur_CAF1C3	
ArchaeCry|Cocsub_XP_005651922.1	aOG.eur_CAF1C3	
CRuMs|Diprot_Gene.12799	aOG.eur_CAF1C3	
CRuMs|Rigram_Gene.17142	aOG.eur_CAF1C3	
Amoebozoa|Acas_ELR21731	aOG.eur_CAF1C3	
Metamonada|Carmem_2006.p1	aOG.eur_CAF1C3	
Hemimastigophora|Hemkuk_19635_TR6518_c0_g1	aOG.eur_CAF1C4	
SARHap|Chrtob_KOO23085.1	aOG.eur_CAF1C5	
