in_gene	out_gene	branch_support	ev_type	sos
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0005g733a_1098-1207	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0011g410a_60-215	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0001g1037a_499-690	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0001g2208a_81-229	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Linana_g7042.t1_123-280	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Skow_XP_006815365.1_103-263	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Clyhem_TCONS_00063197-protein_2-113	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Skow_XP_006823985.1_721-879	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Ocar_g112.t1_137-293	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0016g1056a_382-515	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Lcom_lcpid55372_236-355	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0001g1247a_506-662	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Aque_Aqu2.1.18133_001_219-375	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0035g6a_264-433	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Scil_scpid57048_24-181	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Clyhem_TCONS_00019363-protein_30-142	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Adig_XP_015755651.1_77-259	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Linana_g30001.t1_457-624	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0002g1095a_189-353	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Tetwil_Twilhelma_g11039.t2_161-308	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0001g372a_365-519	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Tetwil_Twilhelma_g11039.t1_161-308	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Ocar_g1569.t1_136-329	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0002g883a_38-132	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0006g194a_9-161	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Scil_scpid40447_157-336	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0003g30a_2028-2187	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0539g2a_107-285	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Aque_Aqu2.1.12260_001_86-281	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Clyhem_TCONS_00029256-protein_46-184	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Scil_scpid66040_24-181	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0006g192a_1-149	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Linana_g28793.t1_64-244	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Aque_Aqu2.1.11935_001_194-348	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0006g93a_33-146	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0010g778a_5-149	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0018g463a_70-264	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Emue_0023g617a_672-826	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Linana_g20643.t1_16-160	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Scil_scpid68266_145-324	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Linana_g1585.t1_232-392	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Scil_scpid77192_24-141	1.0	S	0.0
Gefoke_MALSP_12113.mRNA.1_104-259	Ramvar_GAV04715.1_170-314	1.0	S	0.0
