in_gene	out_gene	branch_support	ev_type	sos
Auraur_scaffold70.g36.t1	Auraur_scaffold70.g36.t2	100.0	D	1.0
Lcom_lcpid21067	Phoaus_g16715.t1	83.0	S	0.0
Lcom_lcpid21067	Aque_Aqu2.1.31933_001	83.0	S	0.0
Lcom_lcpid21067	Clyhem_TCONS_00002876-protein	83.0	S	0.0
Lcom_lcpid21067	Aque_Aqu2.1.03745_001	83.0	S	0.0
Lcom_lcpid21067	Hsap_ENSP00000496698.1	83.0	S	0.0
Lcom_lcpid21067	Drer_ENSDARP00000156644.1	83.0	S	0.0
Lcom_lcpid21067	Aque_Aqu2.1.28843_001	83.0	S	0.0
Lcom_lcpid21067	Aplker_56429	83.0	S	0.0
Lcom_lcpid21067	Linana_g8364.t1	83.0	S	0.0
Lcom_lcpid21067	Aque_Aqu2.1.07820_001	83.0	S	0.0
Lcom_lcpid21067	Linana_g12108.t1	83.0	S	0.0
Lcom_lcpid21067	Aque_Aqu2.1.20584_001	83.0	S	0.0
Scil_scpid22819	Phoaus_g16715.t1	83.0	S	0.0
Scil_scpid22819	Aque_Aqu2.1.31933_001	83.0	S	0.0
Scil_scpid22819	Clyhem_TCONS_00002876-protein	83.0	S	0.0
Scil_scpid22819	Aque_Aqu2.1.03745_001	83.0	S	0.0
Scil_scpid22819	Hsap_ENSP00000496698.1	83.0	S	0.0
Scil_scpid22819	Drer_ENSDARP00000156644.1	83.0	S	0.0
Scil_scpid22819	Aque_Aqu2.1.28843_001	83.0	S	0.0
Scil_scpid22819	Aplker_56429	83.0	S	0.0
Scil_scpid22819	Linana_g8364.t1	83.0	S	0.0
Scil_scpid22819	Aque_Aqu2.1.07820_001	83.0	S	0.0
Scil_scpid22819	Linana_g12108.t1	83.0	S	0.0
Scil_scpid22819	Aque_Aqu2.1.20584_001	83.0	S	0.0
Dpul_EFX78715	Phoaus_g16715.t1	83.0	S	0.0
Dpul_EFX78715	Aque_Aqu2.1.31933_001	83.0	S	0.0
Dpul_EFX78715	Clyhem_TCONS_00002876-protein	83.0	S	0.0
Dpul_EFX78715	Aque_Aqu2.1.03745_001	83.0	S	0.0
Dpul_EFX78715	Hsap_ENSP00000496698.1	83.0	S	0.0
Dpul_EFX78715	Drer_ENSDARP00000156644.1	83.0	S	0.0
Dpul_EFX78715	Aque_Aqu2.1.28843_001	83.0	S	0.0
Dpul_EFX78715	Aplker_56429	83.0	S	0.0
Dpul_EFX78715	Linana_g8364.t1	83.0	S	0.0
Dpul_EFX78715	Aque_Aqu2.1.07820_001	83.0	S	0.0
Dpul_EFX78715	Linana_g12108.t1	83.0	S	0.0
Dpul_EFX78715	Aque_Aqu2.1.20584_001	83.0	S	0.0
Dpul_EFX76657	Phoaus_g16715.t1	83.0	S	0.0
Dpul_EFX76657	Aque_Aqu2.1.31933_001	83.0	S	0.0
Dpul_EFX76657	Clyhem_TCONS_00002876-protein	83.0	S	0.0
Dpul_EFX76657	Aque_Aqu2.1.03745_001	83.0	S	0.0
Dpul_EFX76657	Hsap_ENSP00000496698.1	83.0	S	0.0
Dpul_EFX76657	Drer_ENSDARP00000156644.1	83.0	S	0.0
Dpul_EFX76657	Aque_Aqu2.1.28843_001	83.0	S	0.0
Dpul_EFX76657	Aplker_56429	83.0	S	0.0
Dpul_EFX76657	Linana_g8364.t1	83.0	S	0.0
Dpul_EFX76657	Aque_Aqu2.1.07820_001	83.0	S	0.0
Dpul_EFX76657	Linana_g12108.t1	83.0	S	0.0
Dpul_EFX76657	Aque_Aqu2.1.20584_001	83.0	S	0.0
Dpul_EFX77361	Phoaus_g16715.t1	83.0	S	0.0
Dpul_EFX77361	Aque_Aqu2.1.31933_001	83.0	S	0.0
