Transcript	Length	NumReads	Unmapped	Sample	Gene
Plafun_PRP73443	7629	6288	0	mapping	Plafun_PRP73443
Plafun_PRP73675	3825	41	0	mapping	Plafun_PRP73675
Plafun_PRP73716	1047	11	0	mapping	Plafun_PRP73716
Plafun_PRP73885	5397	32	0	mapping	Plafun_PRP73885
Plafun_PRP74586	3609	54	0	mapping	Plafun_PRP74586
Plafun_PRP74592	9786	216	0	mapping	Plafun_PRP74592
Plafun_PRP74940	1761	118865	0	mapping	Plafun_PRP74940
Plafun_PRP76895	4038	8679	0	mapping	Plafun_PRP76895
Plafun_PRP78085	3720	76	0	mapping	Plafun_PRP78085
Plafun_PRP81976	4827	60974	0	mapping	Plafun_PRP81976
Plafun_PRP82664	1938	18	0	mapping	Plafun_PRP82664
Plafun_PRP78806	1506	7	0	mapping	Plafun_PRP82664
Plafun_PRP85156	1410	7000	0	mapping	Plafun_PRP82664
Plafun_PRP82696	1080	74	0	mapping	Plafun_PRP82696
Plafun_PRP82731	5820	69	0	mapping	Plafun_PRP82731
Plafun_PRP83468	2733	7	0	mapping	Plafun_PRP83468
Plafun_PRP85645	2550	7	0	mapping	Plafun_PRP85645
Plafun_PRP88087	3945	44586	0	mapping	Plafun_PRP88087
