gene	orthogroup	orthologous_to
Tpse_EED96703	SET.HG12.0:NA	NA
Otau_XP_003074252.2	SET.HG12.0:NA	NA
Masbal_CACRSC010000046.1.p118	SET.HG12.0:NA	NA
Tcru_EAN85583	SET.HG12.0:NA	NA
Lmaj_CAJ03354	SET.HG12.0:NA	NA
Bodsal_CUG91618.1	SET.HG12.0:NA	NA
Bremin_symbB.v1.2.027141.t1	SET.HG12.0:NA	NA
Tcru_EAN99953	SET.HG12.0:NA	NA
Cvel_4618.t1-p1	SET.HG12.0:NA	NA
Tcru_EAN83236	SET.HG12.0:NA	NA
Lepsey_KPI88482	SET.HG12.0:NA	NA
Strcul_EPY36833	SET.HG12.0:NA	NA
Symmic_Smic20731	SET.HG12.0:NA	NA
Gthe_EKX33039	SET.HG12.0:NA	NA
