gene	orthogroup	orthologous_to	family	architecture
Ngad_EWM25798	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	
Apla_XP_022102973.1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2 RAWUL
Acoe_PIA36581.1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Notgen_g39398.t1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Ptet_CAK94518	PCRing.HG0.0:RING1/RNF2	islike:RING1/RNF2	PCRing	zf-C3HC4_2
Hduj_OQV22402.1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Ptet_CAK57737	PCRing.HG0.0:RING1/RNF2	islike:RING1/RNF2	PCRing	zf-C3HC4_2
Acoe_PIA35199.1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Cgig_EKC31483	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2 RAWUL
Sphfal_Sphfalx05G070200.2.p	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Linana_g1765.t1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2 RAWUL
Rigram_Gene.28196	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Nutlon_comp17178_c1_seq1.p1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Cowc_KJE88783	PCRing.HG0.0:RING1/RNF2	islike:RING1/RNF2	PCRing	zf-C3HC4_2
Plafun_PRP85156	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
Chrtob_KOO32846.1	PCRing.HG0.0:RING1/RNF2	islike:RING1/RNF2	PCRing	zf-C3HC4_3
Ramvar_GAU91770.1	PCRing.HG0.0:RING1/RNF2	RING1/RNF2	PCRing	zf-C3HC4_2
