Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Notgen_g10141.t1	5517	5335.139	0.000000	0.000	SRR5811955	Notgen_g10141.t1
Notgen_g10141.t1	5517	5371.651	0.000000	0.000	SRR5811956	Notgen_g10141.t1
Notgen_g10141.t1	5517	5381.178	0.000000	0.000	SRR5811959	Notgen_g10141.t1
Notgen_g10141.t1	5517	5300.020	0.000000	0.000	SRR5811960	Notgen_g10141.t1
Notgen_g10141.t1	5517	5332.510	0.165869	6.000	SRR5811963	Notgen_g10141.t1
Notgen_g10141.t1	5517	5279.282	0.092543	2.000	SRR5811964	Notgen_g10141.t1
Notgen_g10141.t1	5517	5280.983	0.025191	1.000	SRR5811965	Notgen_g10141.t1
Notgen_g10141.t1	5517	5275.710	0.054258	2.000	SRR5811966	Notgen_g10141.t1
Notgen_g10141.t1	5517	5281.230	0.060140	2.000	SRR5811967	Notgen_g10141.t1
Notgen_g10141.t1	5517	5275.577	0.177661	7.000	SRR5811968	Notgen_g10141.t1
Notgen_g10141.t1	5517	5274.848	0.125788	6.000	SRR5811969	Notgen_g10141.t1
Notgen_g10141.t1	5517	5277.590	0.000000	0.000	SRR5811970	Notgen_g10141.t1
Notgen_g10141.t1	5517	5301.734	0.000000	0.000	SRR5811981	Notgen_g10141.t1
Notgen_g10141.t1	5517	5323.886	0.000000	0.000	SRR5811982	Notgen_g10141.t1
Notgen_g10141.t1	5517	5231.948	0.168656	9.000	SRR5811995	Notgen_g10141.t1
Notgen_g10141.t1	5517	5236.391	0.035023	2.000	SRR5811996	Notgen_g10141.t1
Notgen_g10141.t1	5517	5217.130	0.505218	25.000	SRR5811997	Notgen_g10141.t1
Notgen_g10141.t1	5517	5223.354	0.182723	8.000	SRR5811998	Notgen_g10141.t1
Notgen_g10141.t1	5517	5266.498	0.145728	9.000	SRR5811999	Notgen_g10141.t1
Notgen_g10141.t1	5517	5246.533	0.041815	2.000	SRR5812000	Notgen_g10141.t1
Notgen_g10141.t1	5517	5290.300	0.052623	21.000	SRR5812001	Notgen_g10141.t1
Notgen_g10649.t1	2430	2248.139	0.000000	0.000	SRR5811955	Notgen_g10649.t1
Notgen_g10649.t1	2430	2284.651	0.000000	0.000	SRR5811956	Notgen_g10649.t1
Notgen_g10649.t1	2430	2294.178	0.000000	0.000	SRR5811959	Notgen_g10649.t1
