Phatri_Phatr3_J31400.t1	Phatri_1_1
Phatri_Phatr3_J42422.t1	Phatri_1_2
Phatri_Phatr3_J31402.t1	Phatri_1_3
Phatri_Phatr3_J42423.t1	Phatri_1_4
Phatri_Phatr3_J42424.t1	Phatri_1_5
Phatri_Phatr3_J7430.t1	Phatri_1_6
Phatri_Phatr3_J42426.t1	Phatri_1_7
Phatri_Phatr3_EG02408.t1	Phatri_1_8
Phatri_Phatr3_J31409.t1	Phatri_1_9
Phatri_Phatr3_J42428.t1	Phatri_1_10
Phatri_Phatr3_J42429.t1	Phatri_1_11
Phatri_Phatr3_EG01843.t1	Phatri_1_12
Phatri_Phatr3_J42431.t1	Phatri_1_13
Phatri_Phatr3_J42432.t1	Phatri_1_14
Phatri_Phatr3_J4937.t1	Phatri_1_15
Phatri_Phatr3_J42434.t1	Phatri_1_16
Phatri_Phatr3_J9344.t1	Phatri_1_17
Phatri_Phatr3_J8866.t1	Phatri_1_18
Phatri_Phatr3_J42437.t1	Phatri_1_19
Phatri_Phatr3_J31420.t1	Phatri_1_20
Phatri_Phatr3_J9252.t1	Phatri_1_21
Phatri_Phatr3_J42439.t1	Phatri_1_22
Phatri_Phatr3_J31423.t1	Phatri_1_23
Phatri_Phatr3_J42440.t1	Phatri_1_24
Phatri_Phatr3_J42441.t1	Phatri_1_25
Phatri_Phatr3_J42442.t1	Phatri_1_26
Phatri_Phatr3_J6387.t1	Phatri_1_27
Phatri_Phatr3_J42443.t1	Phatri_1_28
Phatri_Phatr3_J31429.t1	Phatri_1_29
Phatri_Phatr3_EG01838.t1	Phatri_1_30
Phatri_Phatr3_J53929.t1	Phatri_1_31
Phatri_Phatr3_EG01882.t1	Phatri_1_32
Phatri_Phatr3_J31431.t1	Phatri_1_33
Phatri_Phatr3_EG01820.t1	Phatri_1_34
Phatri_Phatr3_J31432.t1	Phatri_1_35
Phatri_Phatr3_J31433.t1	Phatri_1_36
Phatri_Phatr3_EG01782.t1	Phatri_1_37
Phatri_Phatr3_J31434.t1	Phatri_1_38
Phatri_Phatr3_EG02461.t1	Phatri_1_39
Phatri_Phatr3_J31436.t1	Phatri_1_40
Phatri_Phatr3_J31437.t1	Phatri_1_41
Phatri_Phatr3_J42447.t1	Phatri_1_42
Phatri_Phatr3_EG01815.t1	Phatri_1_43
Phatri_Phatr3_J31440.t1	Phatri_1_44
Phatri_Phatr3_J17166.t1	Phatri_1_45
Phatri_Phatr3_J31442.t1	Phatri_1_46
Phatri_Phatr3_J42451.t1	Phatri_1_47
Phatri_Phatr3_J42452.t1	Phatri_1_48
Phatri_Phatr3_EG02462.t1	Phatri_1_49
Phatri_Phatr3_EG02453.t1	Phatri_1_50
Phatri_Phatr3_J31447.t1	Phatri_1_51
Phatri_Phatr3_J17172.t1	Phatri_1_52
Phatri_Phatr3_EG02409.t1	Phatri_1_53
Phatri_Phatr3_J9359.t1	Phatri_1_54
Phatri_Phatr3_J42457.t1	Phatri_1_55
Phatri_Phatr3_J31453.t1	Phatri_1_56
Phatri_Phatr3_J42458.t1	Phatri_1_57
Phatri_Phatr3_J42459.t1	Phatri_1_58
Phatri_Phatr3_J8760.t1	Phatri_1_59
Phatri_Phatr3_J42461.t1	Phatri_1_60
Phatri_Phatr3_J31458.t1	Phatri_1_61
Phatri_Phatr3_EG01752.t1	Phatri_1_62
Phatri_Phatr3_J53933.t1	Phatri_1_63
Phatri_Phatr3_J42464.t1	Phatri_1_64
Phatri_Phatr3_J17184.t1	Phatri_1_65
Phatri_Phatr3_J42466.t1	Phatri_1_66
Phatri_Phatr3_EG02454.t1	Phatri_1_67
Phatri_Phatr3_J31465.t1	Phatri_1_68
Phatri_Phatr3_EG02455.t1	Phatri_1_69
Phatri_Phatr3_EG02451.t1	Phatri_1_70
Phatri_Phatr3_J8934.t1	Phatri_1_71
Phatri_Phatr3_J31469.t1	Phatri_1_72
Phatri_Phatr3_EG02456.t1	Phatri_1_73
Phatri_Phatr3_J42473.t1	Phatri_1_74
Phatri_Phatr3_J42474.t1	Phatri_1_75
Phatri_Phatr3_J17198.t1	Phatri_1_76
Phatri_Phatr3_J31474.t1	Phatri_1_77
Phatri_Phatr3_EG02407.t1	Phatri_1_78
Phatri_Phatr3_J42479.t1	Phatri_1_79
Phatri_Phatr3_J42481.t1	Phatri_1_80
Phatri_Phatr3_J17199.t1	Phatri_1_81
Phatri_Phatr3_J42483.t1	Phatri_1_82
Phatri_Phatr3_J42484.t1	Phatri_1_83
Phatri_Phatr3_J53935.t1	Phatri_1_84
Phatri_Phatr3_J9462.t1	Phatri_1_85
Phatri_Phatr3_J42487.t1	Phatri_1_86
Phatri_Phatr3_J31486.t1	Phatri_1_87
Phatri_Phatr3_J42488.t1	Phatri_1_88
Phatri_Phatr3_J9007.t1	Phatri_1_89
Phatri_Phatr3_J9033.t1	Phatri_1_90
Phatri_Phatr3_J3311.t1	Phatri_1_91
Phatri_Phatr3_J9319.t1	Phatri_1_92
Phatri_Phatr3_J31492.t1	Phatri_1_93
Phatri_Phatr3_J17215.t1	Phatri_1_94
Phatri_Phatr3_J31494.t1	Phatri_1_95
Phatri_Phatr3_J42494.t1	Phatri_1_96
Phatri_Phatr3_EG01836.t1	Phatri_1_97
Phatri_Phatr3_J42495.t1	Phatri_1_98
Phatri_Phatr3_J42496.t1	Phatri_1_99
Phatri_Phatr3_J42497.t1	Phatri_1_100
