gene	orthogroup	orthologous_to
Gthe_EKX39041	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Spun_KNC99570	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Retfil_ETO14459	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Ptet_CAK80324	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Ptet_CAK70058	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Lcom_lcpid236489	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Ehux_EOD31316	MBT.HG1.0:like:PHF20L1:likeclu:1	NA
Dpul_EFX82597	MBT.HG1.1:PHF20L1	PHF20L1
Spur_XP_030829630.1	MBT.HG1.1:PHF20L1	PHF20L1
Drer_ENSDARP00000153142.1	MBT.HG1.1:PHF20L1	PHF20L1
Drer_ENSDARP00000111291.2	MBT.HG1.1:PHF20L1	PHF20L1
Helrob_HelroP87257	MBT.HG1.1:PHF20L1	PHF20L1
Drer_ENSDARP00000152901.1	MBT.HG1.1:PHF20L1	PHF20L1
Linana_g13747.t1	MBT.HG1.1:PHF20L1	PHF20L1
Lcom_lcpid13340	MBT.HG1.1:PHF20L1	PHF20L1
Cgig_EKC36678	MBT.HG1.1:PHF20L1	PHF20L1
Sros_EGD72098	MBT.HG1.1:PHF20L1	PHF20L1
Phoaus_g3508.t1	MBT.HG1.1:PHF20L1	PHF20L1
Notgen_g39774.t1	MBT.HG1.1:PHF20L1	PHF20L1
Spur_XP_030829632.1	MBT.HG1.1:PHF20L1	PHF20L1
Bnat_JGI_V11_134028	MBT.HG1.1:PHF20L1	PHF20L1
Morvir_scaffold98.g45.t1	MBT.HG1.1:PHF20L1	PHF20L1
Lpol_XP_013792164.1	MBT.HG1.1:PHF20L1	PHF20L1
Rirr_GBC48745	MBT.HG1.1:PHF20L1	PHF20L1
Drer_ENSDARP00000056569.4	MBT.HG1.1:PHF20L1	PHF20L1
Apla_XP_022091079.1	MBT.HG1.1:PHF20L1	PHF20L1
Lgig_LotgiP130625	MBT.HG1.1:PHF20L1	PHF20L1
Hsap_ENSP00000378784.2	MBT.HG1.1:PHF20L1	PHF20L1
Notgen_g28637.t1	MBT.HG1.1:PHF20L1	PHF20L1
Tcas_XP_972506.1	MBT.HG1.1:PHF20L1	PHF20L1
Tcas_XP_008200466.1	MBT.HG1.1:PHF20L1	PHF20L1
Tadh_P17958	MBT.HG1.1:PHF20L1	PHF20L1
Cowc_KJE94656	MBT.HG1.2:AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2	AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2
Drer_ENSDARP00000135816.1	MBT.HG1.2:AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2	SCMH1
Aque_Aqu2.1.06571_001	MBT.HG1.2:AL031681.3/L3MBTL1/L3MBTL2/L3MBTL3/L3MBTL4/MBTD1/SCMH1/SCML2/SFMBT1/SFMBT2	islike:AL031681.3/L3MBTL1/L3MBTL3/L3MBTL4
