Notgen_g40077.t1	HTH_psq DDE_1 PHD
Notgen_g36785.t1	HTH_psq DDE_1 PHD
Notgen_g28342.t1	PHD Integrase_H2C2 rve
Notgen_g9273.t1	DDE_Tnp_4 SIR2
Notgen_g39178.t1	RT_RNaseH_2 PHD Integrase_H2C2
Notgen_g37061.t1	CHDNT PHD PHD Chromo SNF2_N SNF2_N Helicase_C DUF1087 Helicase_C DUF1087 DUF1086 CHDCT2
Notgen_g29796.t1	MULE Peptidase_C48 PHD
Notgen_g41571.t1	gag-asp_proteas RVT_1 RT_RNaseH Integrase_H2C2 rve Chromo
Notgen_g40517.t1	RT_RNaseH Integrase_H2C2 rve Chromo
Notgen_g39034.t1	RT_RNaseH PHD Integrase_H2C2
Notgen_g21261.t1	DDE_1 PHD
Notgen_g1820.t1	RVT_1 zf-C3HC4_2
Notgen_g14251.t1	rve Chromo
Notgen_g37703.t1	RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo
Notgen_g16943.t1	Exo_endo_phos_2 RVT_1 RVT_1 Histone
Notgen_g10141.t1	Spuma_A9PTase RVT_1 RT_RNaseH_2 Integrase_H2C2 Chromo
Notgen_g609.t1	gag-asp_proteas RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo
Notgen_g10649.t1	Exo_endo_phos_2 RVT_1 Histone
Notgen_g9443.t1	p450 Bromodomain zf-CCHC RVT_1 RT_RNaseH PHD Integrase_H2C2 rve
Notgen_g5445.t1	Exo_endo_phos_2 RVT_1 BIR
Notgen_g37890.t1	gag-asp_proteas RVT_1 RT_RNaseH PHD Integrase_H2C2 rve
Notgen_g29130.t1	RVT_1 RT_RNaseH_2 Integrase_H2C2 rve Chromo
Notgen_g14498.t1	Integrase_H2C2 rve Chromo
Notgen_g29337.t1	rve Chromo
Notgen_g5547.t1	HTH_psq DDE_1 PHD
Notgen_g18231.t1	SAM_1 RVT_1 RT_RNaseH_2 Integrase_H2C2 rve
Notgen_g38856.t1	RT_RNaseH Integrase_H2C2 Chromo
Notgen_g40755.t1	RT_RNaseH PHD Integrase_H2C2 rve
Notgen_g28659.t1	DDE_1 PHD
Notgen_g25118.t1	rve Chromo
Notgen_g20558.t1	HTH_psq DDE_1 PHD
Notgen_g7191.t1	RVT_1 RT_RNaseH_2 PHD
Notgen_g41679.t1	gag-asp_proteas RT_RNaseH PHD
Notgen_g40072.t1	RVT_1 RT_RNaseH_2 Integrase_H2C2 Chromo
