gene	orthogroup	orthologous_to
Perkma_EER00267	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Bnat_JGI_V11_81013	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Chrtob_KOO33961.1	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Otau_XP_003081453.1	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Mpus_XP_003056605.1	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Bnat_JGI_V11_69632	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Ttra_KNC51208	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Perkma_EER19027	CupinJmjC.HG4.0:like:JARID2/KDM5A/KDM5B/KDM5C/KDM5D:likeclu:1	NA
Pfal_CAD51276	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Coka_g13016.t1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Bdis_PNT73418	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Apla_XP_022082350.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	JARID2
Plamic_ANCSI_08213.mRNA.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Fabtro_Gene.11743	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Cavfas_EGG14178	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2
Acoe_PIA30397.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Crei_PNW75137	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Atha_AT2G34880.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Mbre_EDQ89919	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Ptet_CAK65106	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Spun_KNC97638	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Sacu_v1.1_s0050.g013848	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Marpol_PTQ42402	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Oxytri_EJY69876	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Sros_EGD73220	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Cneo_AAW43237	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Ppat_Pp3c11_24630V3.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Hydvul_Sc4wPfr_789.g22450.t1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Sbic_KXG19763	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Lpol_XP_022244887.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	JARID2
Caulen_g4.t1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Spur_XP_030827947.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Exapal_XP_020909422.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Drer_ENSDARP00000134924.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A
Cgig_EKC19962	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	JARID2
Sappar_KDO23726	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	KDM5A/KDM5B/KDM5C/KDM5D
Ulvmut_UM005_02621	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Gthe_EKX50736	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
Sphfal_Sphfalx17G077800.1.p	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Otau_XP_022840230.1	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:KDM5A/KDM5B/KDM5C/KDM5D
Azfi_s0304.g063842	CupinJmjC.HG4.1:JARID2/KDM5A/KDM5B/KDM5C/KDM5D	islike:JARID2/KDM5A/KDM5B/KDM5C/KDM5D
