Apla_XP_022090421.1	HTH_Tnp_Tc5 PHD
Apla_XP_022111688.1	Integrase_H2C2 rve PHD TatD_DNase
Apla_XP_022104216.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Apla_XP_022090455.1	HTH_Tnp_Tc5 DDE_1 PHD
