Transcript	Length	NumReads	Unmapped	Sample	Gene
Sros_EGD73249	5031	2312	746	mapping	Sros_EGD73249
Sros_EGD73763	2469	7	1	mapping	Sros_EGD73763
Sros_EGD74825	2859	18	7	mapping	Sros_EGD74825
Sros_EGD75179	4293	17	0	mapping	Sros_EGD75179
Sros_EGD76334	3780	25	5	mapping	Sros_EGD76334
Sros_EGD76390	3282	288	66	mapping	Sros_EGD76390
Sros_EGD81417	2613	11	1	mapping	Sros_EGD81417
Sros_EGD82116	2706	69	14	mapping	Sros_EGD82116
Sros_EGD75625	303	10	7	mapping	Sros_EGD82116
Sros_EGD82126	4488	425	63	mapping	Sros_EGD82126
Sros_EGD83709	4344	33	4	mapping	Sros_EGD83709
