Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Aaur_scaffold1021.g3.t1	1	952	0	317	16.6997389
Aaur_scaffold1257.g13.t1	0	1092	0	364	7.463963964
Aaur_scaffold1329.g6.t1	0	3297	0	1099	17.17843372
Aaur_scaffold1520.g2.t1	58	3270	19	1090	8.125967992
Aaur_scaffold1523.g4.t1	0	1167	0	389	58.17000367
Aaur_scaffold1574.g2.t1	0	3018	0	1006	4.251290878
Aaur_scaffold1885.g5.t1	0	3306	0	1102	61.78988755
Aaur_scaffold2133.g3.t1	0	960	0	320	31.4276355
Aaur_scaffold5108.g1.t1	0	1776	0	592	37.99127876
Aaur_scaffold806.g9.t1	25	1292	8	430	2.428904429
Aaur_scaffold806.g9.t1	1329	1489	443	496	1
Aaur_scaffold806.g9.t1	1546	4569	515	1523	2.308411215
Aaur_scaffold921.g6.t1	0	1494	0	498	214.0416596
