gene	orthogroup	orthologous_to
Masbal_CACRSC010000097.1.p2_1-59	Integrase_H2C2.HG7.0:NA	NA
Cowc_KJE97165_325-399	Integrase_H2C2.HG7.0:NA	NA
Cvel_2297.t1-p1_538-614	Integrase_H2C2.HG7.0:NA	NA
Cvel_36126.t1-p1_251-325	Integrase_H2C2.HG7.0:NA	NA
Cvel_27440.t1-p1_1128-1205	Integrase_H2C2.HG7.0:NA	NA
Cvel_28050.t1-p1_88-161	Integrase_H2C2.HG7.0:NA	NA
Cvel_15709.t1-p1_8-85	Integrase_H2C2.HG7.0:NA	NA
Cvel_35548.t1-p1_485-561	Integrase_H2C2.HG7.0:NA	NA
Mgut_XP_012857029.1_200-274	Integrase_H2C2.HG7.0:NA	NA
Cneo_AAW44070_1049-1125	Integrase_H2C2.HG7.0:NA	NA
Cvel_26683.t1-p1_125-201	Integrase_H2C2.HG7.0:NA	NA
Cvel_25705.t1-p1_932-1008	Integrase_H2C2.HG7.0:NA	NA
Morvir_scaffold15.g138.t1_741-812	Integrase_H2C2.HG7.0:NA	NA
Cvel_25586.t1-p1_204-272	Integrase_H2C2.HG7.0:NA	NA
Cvel_4473.t1-p1_827-888	Integrase_H2C2.HG7.0:NA	NA
Cvel_4330.t1-p1_123-172	Integrase_H2C2.HG7.0:NA	NA
Cvel_694.t1-p1_1-43	Integrase_H2C2.HG7.0:NA	NA
Cowc_KJE97446_340-414	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP72842_274-351	Integrase_H2C2.HG7.0:NA	NA
Tcas_XP_001810078.1_996-1071	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP73007_828-905	Integrase_H2C2.HG7.0:NA	NA
Spom_SPAC2E1P3.03c.1_pep_899-976	Integrase_H2C2.HG7.0:NA	NA
Cvel_26108.t1-p1_172-220	Integrase_H2C2.HG7.0:NA	NA
Cvel_9847.t1-p1_11-84	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP76895_616-693	Integrase_H2C2.HG7.0:NA	NA
Ddis_EAL73848_65-135	Integrase_H2C2.HG7.0:NA	NA
Cvel_31397.t1-p1_285-361	Integrase_H2C2.HG7.0:NA	NA
Cvel_9062.t1-p1_477-553	Integrase_H2C2.HG7.0:NA	NA
Cvel_13272.t1-p1_448-525	Integrase_H2C2.HG7.0:NA	NA
Cvel_2297.t1-p1_232-308	Integrase_H2C2.HG7.0:NA	NA
Lcom_lcpid100476_192-264	Integrase_H2C2.HG7.0:NA	NA
Chocri_XP_005711582.1_267-337	Integrase_H2C2.HG7.0:NA	NA
Cvel_7216.t1-p1_775-852	Integrase_H2C2.HG7.0:NA	NA
Chocri_XP_005715247.1_492-562	Integrase_H2C2.HG7.0:NA	NA
Cvel_8185.t1-p1_578-655	Integrase_H2C2.HG7.0:NA	NA
Spom_SPBC1289.17.1_pep_899-976	Integrase_H2C2.HG7.0:NA	NA
Drer_ENSDARP00000100966.3_86-163	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP73007_1075-1152	Integrase_H2C2.HG7.0:NA	NA
Drer_ENSDARP00000149264.1_977-1054	Integrase_H2C2.HG7.0:NA	NA
Drer_ENSDARP00000146588.1_977-1054	Integrase_H2C2.HG7.0:NA	NA
Spom_SPCC1494.11c.1_pep_898-975	Integrase_H2C2.HG7.0:NA	NA
Lcom_lcpid97880_305-379	Integrase_H2C2.HG7.0:NA	NA
Spom_SPBC1E8.04.1_pep_898-975	Integrase_H2C2.HG7.0:NA	NA
Cvel_25893.t1-p1_7-83	Integrase_H2C2.HG7.0:NA	NA
Klenit_GAQ89856.1_528-604	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP82731_1544-1621	Integrase_H2C2.HG7.0:NA	NA
Spom_SPCC1020.14.1_pep_899-976	Integrase_H2C2.HG7.0:NA	NA
Cvel_21534.t1-p1_587-664	Integrase_H2C2.HG7.0:NA	NA
Cvel_20864.t1-p1_540-616	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP74178_1087-1164	Integrase_H2C2.HG7.0:NA	NA
Cvel_27656.t1-p1_671-747	Integrase_H2C2.HG7.0:NA	NA
Morvir_scaffold31.g75.t1_860-931	Integrase_H2C2.HG7.0:NA	NA
Drer_ENSDARP00000147447.1_86-163	Integrase_H2C2.HG7.0:NA	NA
Plafun_PRP73675_628-705	Integrase_H2C2.HG7.0:NA	NA
Drer_ENSDARP00000147080.1_970-1047	Integrase_H2C2.HG7.0:NA	NA
