Skow_XP_006813022.1	Acetyltransf_1 DDE_3
Skow_XP_002732568.2	WD40 WD40 WD40 HIRA_B Hira Peptidase_A17 Integrase_H2C2 Hira
Skow_XP_006820466.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Skow_XP_006817544.1	PAX LRR_8 SAM_1 zf-C3HC4_3
