Nvec_NVE13874	RVT_1 PHD PH Actin
Nvec_NVE26075	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Nvec_NVE25868	RVT_1 PHD
Nvec_NVE15670	RVT_1 PHD
