Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Ptyfla_pfl_40v0_9_20150316_1g13958.t1	0	2030	0	676	16.13570831
Ptyfla_pfl_40v0_9_20150316_1g13958.t1	2035	3731	678	1243	25.73153129
Ptyfla_pfl_40v0_9_20150316_1g16730.t1	10	742	3	247	1.896551724
Ptyfla_pfl_40v0_9_20150316_1g16730.t1	872	3114	290	1038	2.688715953
Ptyfla_pfl_40v0_9_20150316_1g29542.t1	3703	3861	1234	1287	1.153846154
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	172	377	57	125	4
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	381	571	127	190	1.25
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	583	808	194	269	1.733333333
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	818	1048	272	349	1.727272727
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	1049	2197	349	732	1.848039216
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	2229	2371	743	790	1.25
Ptyfla_pfl_40v0_9_20150316_1g7952.t1	2432	2982	810	994	1.614035088
