in_gene	out_gene	branch_support	ev_type	sos
Marpol_PTQ34539	Mgut_XP_012836617.1	1.0	S	0.0
Marpol_PTQ34539	Sphfal_Sphfalx04G011600.1.p	1.0	S	0.0
Marpol_PTQ34539	Sbic_EER88909	1.0	S	0.0
Marpol_PTQ34539	Bdis_KQJ98996	1.0	S	0.0
Marpol_PTQ34539	Sbic_EES18200	1.0	S	0.0
Marpol_PTQ34539	Atha_AT3G63030.1	1.0	S	0.0
Marpol_PTQ34539	Mgut_XP_012844143.1	1.0	S	0.0
Marpol_PTQ34539	Azfi_s0252.g060374	1.0	S	0.0
Marpol_PTQ34539	Mgut_XP_012836618.1	1.0	S	0.0
Marpol_PTQ34539	Azfi_s0005.g009251	1.0	S	0.0
Marpol_PTQ34539	Sphfal_Sphfalx04G011200.1.p	1.0	S	0.0
Marpol_PTQ34539	Bdis_KQK06333	1.0	S	0.0
Marpol_PTQ34539	Bdis_KQK17413	1.0	S	0.0
Marpol_PTQ34539	Sbic_EES15362	1.0	S	0.0
Marpol_PTQ34539	Ppat_Pp3c4_4120V3.10	1.0	S	0.0
Marpol_PTQ34539	Atri_ERN12447	1.0	S	0.0
Marpol_PTQ34539	Mgut_XP_012850393.1	1.0	S	0.0
Marpol_PTQ34539	Azfi_s0466.g072784	1.0	S	0.0
Marpol_PTQ34539	Bdis_KQJ90818	1.0	S	0.0
Marpol_PTQ34539	Sphfal_Sphfalx15G046800.1.p	1.0	S	0.0
Marpol_PTQ34539	Sbic_OQU77970	1.0	S	0.0
Marpol_PTQ34539	Atha_AT4G22745.1	1.0	S	0.0
Marpol_PTQ34539	Atri_ERN12534	1.0	S	0.0
Marpol_PTQ34539	Bdis_KQK06331	1.0	S	0.0
Marpol_PTQ34539	Sacu_v1.1_s0004.g002332	1.0	S	0.0
Marpol_PTQ34539	Sbic_OQU80882	1.0	S	0.0
Marpol_PTQ34539	Mgut_XP_012840461.1	1.0	S	0.0
Marpol_PTQ34539	Sbic_KXG35939	1.0	S	0.0
Marpol_PTQ34539	Acoe_PIA39356.1	1.0	S	0.0
