Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Azofil_Azfi_s2141.g109596	576	402.565	0.000000	0.000	ERR2503857	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	385.194	133.499076	404.000	ERR2503858	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	409.619	0.000000	0.000	ERR2503859	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	389.904	91.474776	315.000	ERR2503860	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	397.394	31.598688	93.000	ERR2503861	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	401.952	64.907652	196.000	ERR2503862	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	382.980	69.012372	211.000	ERR2503863	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	398.971	49.652468	134.000	ERR2503864	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	365.191	37.436266	96.000	ERR2503865	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	401.077	100.788218	303.000	ERR2503866	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	396.138	137.794950	486.195	ERR2503868	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	391.972	80.642172	202.000	ERR2503869	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	394.721	44.316303	162.000	ERR2503870	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	378.139	59.490899	191.000	ERR2503871	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	387.715	220.676586	610.000	ERR2503872	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	340.257	44.557144	87.000	ERR2503873	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	393.604	77.171548	190.000	ERR2503874	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	408.834	87.985507	348.000	ERR2503875	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	397.028	44.851286	134.000	ERR2503876	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	406.103	53.110360	164.000	ERR2503877	Azfi_s0007.g010920
Azofil_Azfi_s2141.g109596	576	409.191	37.047011	108.000	ERR2503878	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	141.541	0.000000	0.000	ERR2503857	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	131.585	22.248345	23.000	ERR2503858	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	151.757	0.000000	0.000	ERR2503859	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	132.045	14.577261	17.000	ERR2503860	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	142.115	5.700556	6.000	ERR2503861	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	143.573	13.906948	15.000	ERR2503862	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	126.918	15.297778	15.500	ERR2503863	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	142.248	9.873112	9.500	ERR2503864	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	114.536	14.920380	12.000	ERR2503865	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	143.529	17.195933	18.500	ERR2503866	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	139.893	28.490543	35.500	ERR2503868	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	136.195	13.213022	11.500	ERR2503869	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	139.044	5.824365	7.500	ERR2503870	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	123.973	17.100767	18.000	ERR2503871	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	133.907	19.901605	19.000	ERR2503872	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	104.944	12.454043	7.500	ERR2503873	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	137.782	22.045722	19.000	ERR2503874	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	149.911	19.996051	29.000	ERR2503875	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	138.960	13.866530	14.500	ERR2503876	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	149.501	10.556229	12.000	ERR2503877	Azfi_s0007.g010920
Azofil_Azfi_s0007.g010907	312	149.982	9.358683	10.000	ERR2503878	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	141.541	0.000000	0.000	ERR2503857	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	131.585	22.248345	23.000	ERR2503858	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	151.757	0.000000	0.000	ERR2503859	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	132.045	14.577261	17.000	ERR2503860	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	142.115	5.700556	6.000	ERR2503861	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	143.573	13.906948	15.000	ERR2503862	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	126.918	15.297778	15.500	ERR2503863	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	142.248	9.873112	9.500	ERR2503864	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	114.536	14.920380	12.000	ERR2503865	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	143.529	17.195933	18.500	ERR2503866	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	139.893	28.490543	35.500	ERR2503868	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	136.195	13.213022	11.500	ERR2503869	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	139.044	5.824365	7.500	ERR2503870	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	123.973	17.100767	18.000	ERR2503871	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	133.907	19.901605	19.000	ERR2503872	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	104.944	12.454043	7.500	ERR2503873	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	137.782	22.045722	19.000	ERR2503874	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	149.911	19.996051	29.000	ERR2503875	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	138.960	13.866530	14.500	ERR2503876	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	149.501	10.556229	12.000	ERR2503877	Azfi_s0007.g010920
Azofil_Azfi_s0102.g044422	312	149.982	9.358683	10.000	ERR2503878	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	141.541	0.000000	0.000	ERR2503857	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	131.585	798.038450	825.000	ERR2503858	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	151.757	1463.094256	1.000	ERR2503859	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	132.045	680.709985	793.844	ERR2503860	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	142.115	509.927587	536.714	ERR2503861	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	143.573	561.439482	605.567	ERR2503862	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	126.918	655.242237	663.904	ERR2503863	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	142.248	383.492458	369.000	ERR2503864	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	114.536	574.403894	461.975	ERR2503865	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	143.529	606.969964	653.000	ERR2503866	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	139.893	752.808531	938.020	ERR2503868	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	136.195	683.630265	595.000	ERR2503869	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	139.044	465.171625	598.999	ERR2503870	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	123.973	508.272783	535.000	ERR2503871	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	133.907	779.606769	744.288	ERR2503872	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	104.944	682.022820	410.724	ERR2503873	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	137.782	747.233946	644.000	ERR2503874	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	149.911	760.504947	1102.950	ERR2503875	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	138.960	512.583446	536.000	ERR2503876	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	149.501	482.947469	549.000	ERR2503877	Azfi_s0007.g010920
Azofil_Azfi_s0191.g057030	312	149.982	529.674029	565.971	ERR2503878	Azfi_s0007.g010920
