Transcript	Length	NumReads	Unmapped	Sample	Gene
Cvel_Cvel_11420.t1	2832	4799	29	mapping	Cvel_11420.t1-p1
Cvel_Cvel_13122.t1	1227	72	1	mapping	Cvel_13122.t1-p1
Cvel_Cvel_13909.t1	1863	13	1	mapping	Cvel_13909.t1-p1
Cvel_Cvel_16522.t1	1383	930	91	mapping	Cvel_16522.t1-p1
Cvel_Cvel_21008.t1	2424	15910	102	mapping	Cvel_18067.t1-p1
Cvel_Cvel_18452.t1	1821	59	0	mapping	Cvel_18452.t1-p1
Cvel_Cvel_19714.t1	2760	2581	29	mapping	Cvel_19714.t1-p1
Cvel_Cvel_20534.t1	2388	48	0	mapping	Cvel_20534.t1-p1
Cvel_Cvel_21008.t1	2424	15910	102	mapping	Cvel_21008.t1-p1
Cvel_Cvel_21031.t1	3144	3346	60	mapping	Cvel_21031.t1-p1
Cvel_Cvel_22706.t1	2139	272	23	mapping	Cvel_22706.t1-p1
Cvel_Cvel_24756.t1	1020	77	0	mapping	Cvel_24756.t1-p1
Cvel_Cvel_28050.t1	1578	20	1	mapping	Cvel_28050.t1-p1
Cvel_Cvel_28389.t1	1698	2318	25	mapping	Cvel_28389.t1-p1
Cvel_Cvel_29718.t1	2412	2748	13	mapping	Cvel_29718.t1-p1
Cvel_Cvel_31347.t1	3825	108	0	mapping	Cvel_31347.t1-p1
Cvel_Cvel_31397.t1	2178	98	1	mapping	Cvel_31397.t1-p1
Cvel_Cvel_34364.t2	816	183	16	mapping	Cvel_34364.t2-p1
Cvel_Cvel_3488.t1	3834	253	2	mapping	Cvel_3488.t1-p1
Cvel_Cvel_36472.t1	1206	73	0	mapping	Cvel_36472.t1-p1
Cvel_Cvel_6250.t1	900	653	61	mapping	Cvel_6250.t1-p1
Cvel_Cvel_6738.t1	4002	3692	34	mapping	Cvel_6738.t1-p1
Cvel_Cvel_694.t1	1044	2	0	mapping	Cvel_694.t1-p1
Cvel_Cvel_7737.t2	3738	39	0	mapping	Cvel_7737.t2-p1
Cvel_Cvel_8688.t1	1233	32	0	mapping	Cvel_8688.t1-p1
