in_gene	out_gene	branch_support	ev_type	sos
Plabra_CEO99233	Ulvmut_UM100_00271	96.0	S	0.0
Plabra_CEO99233	Schagg_82622	96.0	S	0.0
Plabra_CEO99233	Ehux_EOD08534	96.0	S	0.0
Plabra_CEO99233	Aplker_97916	96.0	S	0.0
Plabra_CEO99233	Gonavo_comp28520_c0_seq1_6_ORF9_370	96.0	S	0.0
Plabra_CEO99233	Ehux_EOD08940	96.0	S	0.0
Plabra_CEO99233	Sappar_KDO27809	96.0	S	0.0
Lepsey_KPI89612	Cpar_Cpar_evm1s7284	96.0	S	0.0
Lepsey_KPI89612	Chabra_GBG75548	96.0	S	0.0
Lepsey_KPI89612	Plafun_PRP80914	96.0	S	0.0
Lepsey_KPI89612	Bdis_KQK07179	96.0	S	0.0
Lepsey_KPI89612	Ttra_KNC52452	96.0	S	0.0
Lepsey_KPI89612	Porumb_OSX76479.1	96.0	S	0.0
Lepsey_KPI89612	Aplker_47833	96.0	S	0.0
Lepsey_KPI89612	Cang_ORZ40141	96.0	S	0.0
Lepsey_KPI89612	Tcas_XP_973014.1	96.0	S	0.0
Lepsey_KPI89612	Ddis_EAL62292	96.0	S	0.0
Lepsey_KPI89612	Caulen_g5579.t1	96.0	S	0.0
Lepsey_KPI89612	Rigram_Gene.5050	96.0	S	0.0
Lepsey_KPI89612	Pisp_OUM58303.1	96.0	S	0.0
Lepsey_KPI89612	Ptyfla_pfl_40v0_9_20150316_1g8824.t1	96.0	S	0.0
Lepsey_KPI89612	Ehux_EOD18097	96.0	S	0.0
Lepsey_KPI89612	Vcar_XP_002955468.1	96.0	S	0.0
Lepsey_KPI89612	Otau_XP_022841318.1	96.0	S	0.0
Lepsey_KPI89612	Ctel_CapteP172235	96.0	S	0.0
Lepsey_KPI89612	Cpar_Cpar_evm2s3425	96.0	S	0.0
Lepsey_KPI89612	Cocsub_XP_005645678.1	96.0	S	0.0
Lepsey_KPI89612	Sman_Smp_148930.1_pep	96.0	S	0.0
Lepsey_KPI89612	Smoe_EFJ10072	96.0	S	0.0
Lepsey_KPI89612	Dmel_FBpp0072151	96.0	S	0.0
Lepsey_KPI89612	Sbic_EES17824	96.0	S	0.0
Lepsey_KPI89612	Carmem_769.p1	96.0	S	0.0
Lepsey_KPI89612	Sarc_Sarc4_g22834T	96.0	S	0.0
Lepsey_KPI89612	Gefoke_MALSP_01394.mRNA.3	96.0	S	0.0
Lepsey_KPI89612	Mcir_OAD02738	96.0	S	0.0
Lepsey_KPI89612	Tthe_EAR94676	96.0	S	0.0
Lepsey_KPI89612	Clim_evm14s205	96.0	S	0.0
Lepsey_KPI89612	Marpol_PTQ42255	96.0	S	0.0
Lepsey_KPI89612	Tvag_XP_001581267.1	96.0	S	0.0
Lepsey_KPI89612	Tielac_KYQ93791	96.0	S	0.0
Lepsey_KPI89612	Ancsig_Gene.26202	96.0	S	0.0
Lepsey_KPI89612	Morvir_scaffold546.g2.t1	96.0	S	0.0
Lepsey_KPI89612	Meteor_CRO19MET_NODE_4105.p1	96.0	S	0.0
Lepsey_KPI89612	Amac_KNE56200	96.0	S	0.0
Lepsey_KPI89612	Spur_XP_030847095.1	96.0	S	0.0
Lepsey_KPI89612	Coerev_PIA17162.1	96.0	S	0.0
Lepsey_KPI89612	Azfi_s0270.g061166	96.0	S	0.0
Lepsey_KPI89612	Cmer_CMS034CT	96.0	S	0.0
Lepsey_KPI89612	Scer_YML069W	96.0	S	0.0
Lepsey_KPI89612	Emul_CDS41312.1	96.0	S	0.0
Lepsey_KPI89612	Mpus_XP_003063826.1	96.0	S	0.0
Lepsey_KPI89612	Clyhem_TCONS_00012089-protein	96.0	S	0.0
Lepsey_KPI89612	Oxytri_EJY67941	96.0	S	0.0
Lepsey_KPI89612	Mlei_ML0922_g1_t1	96.0	S	0.0
Lepsey_KPI89612	Clyhem_TCONS_00012088-protein	96.0	S	0.0
Lepsey_KPI89612	Ehux_EOD09756	96.0	S	0.0
Lepsey_KPI89612	Skow_XP_002734443.1	96.0	S	0.0
Lepsey_KPI89612	Linana_g22491.t1	96.0	S	0.0
