gene	orthogroup	orthologous_to
Bnat_JGI_V11_87296	WD40.HG3.0:EED	EED
Tpse_EED87770	WD40.HG3.0:EED	EED
Alblai_CCA26228	WD40.HG3.0:EED	EED
Notgen_g721.t1	WD40.HG3.0:EED	EED
Drer_ENSDARP00000131820.1	WD40.HG3.0:EED	EED
Aque_Aqu2.1.27400_001	WD40.HG3.0:EED	EED
Sbic_OQU79846	WD40.HG3.0:EED	EED
Tcas_XP_008190477.2	WD40.HG3.0:EED	EED
Dpul_EFX73235	WD40.HG3.0:EED	EED
Tadh_P31681	WD40.HG3.0:EED	EED
Bdis_KQJ94987	WD40.HG3.0:EED	EED
Cint_ENSCINP00000014284.3	WD40.HG3.0:EED	EED
Aque_Aqu2.1.17725_001	WD40.HG3.0:EED	EED
Mpus_XP_003063964.1	WD40.HG3.0:EED	EED
Rirr_GBC16285	WD40.HG3.0:EED	EED
Aque_Aqu2.1.12539_001	WD40.HG3.0:EED	EED
Mbre_EDQ88742	WD40.HG3.0:EED	EED
Aque_Aqu2.1.06213_001	WD40.HG3.0:EED	EED
Lpol_XP_022237640.1	WD40.HG3.0:EED	EED
Caulen_g3998.t1	WD40.HG3.0:EED	EED
Sman_Smp_165220.1_pep	WD40.HG3.0:EED	EED
Gefoke_MALSP_06107.mRNA.1	WD40.HG3.0:EED	EED
Mgut_XP_012827588.1	WD40.HG3.0:EED	EED
Crei_PNW71199	WD40.HG3.0:EED	EED
Aque_Aqu2.1.17726_001	WD40.HG3.0:EED	EED
Porumb_OSX70240.1	WD40.HG3.0:EED	EED
Skow_XP_006824118.1	WD40.HG3.0:EED	EED
Lgig_LotgiP229029	WD40.HG3.0:EED	EED
Spur_XP_030850530.1	WD40.HG3.0:EED	EED
Bdis_PNT70216	WD40.HG3.0:EED	EED
Exapal_XP_020902321.1	WD40.HG3.0:EED	EED
Morvir_scaffold135.g17.t1	WD40.HG3.0:EED	EED
Aque_Aqu2.1.01242_001	WD40.HG3.0:EED	EED
Atri_ERM97869	WD40.HG3.0:EED	EED
Emul_CUT98921.1	WD40.HG3.0:EED	EED
Dmel_FBpp0079907	WD40.HG3.0:EED	EED
Klenit_GAQ88098.1	WD40.HG3.0:EED	EED
Rirr_GBC33621	WD40.HG3.0:EED	EED
Aque_Aqu2.1.12538_001	WD40.HG3.0:EED	EED
Ocar_g7682.t1	WD40.HG3.0:EED	EED
Acoe_PIA46820.1	WD40.HG3.0:EED	EED
Auraur_scaffold142.g13.t3	WD40.HG3.0:EED	EED
Rirr_GBC16238	WD40.HG3.0:EED	EED
Sphfal_Sphfalx05G048700.1.p	WD40.HG3.0:EED	EED
Sbic_EES13318	WD40.HG3.0:EED	EED
Alblai_CCA26229	WD40.HG3.0:EED	EED
Azfi_s0002.g001100	WD40.HG3.0:EED	EED
Ctel_CapteP1436	WD40.HG3.0:EED	EED
Retfil_ETO28360	WD40.HG3.0:EED	EED
Cscu_XP_023223648.1	WD40.HG3.0:EED	EED
Gracho_PXF48209.1	WD40.HG3.0:EED	EED
Alblai_CCA26226	WD40.HG3.0:EED	EED
Alblai_CCA26232	WD40.HG3.0:EED	EED
Bdis_KQJ95478	WD40.HG3.0:EED	EED
Bralan_BL03115_evm8	WD40.HG3.0:EED	EED
Sacu_v1.1_s0217.g026079	WD40.HG3.0:EED	EED
Alblai_CCA26227	WD40.HG3.0:EED	EED
Otau_XP_003083825.1	WD40.HG3.0:EED	EED
Adig_XP_015759951.1	WD40.HG3.0:EED	EED
Alblai_CCA26231	WD40.HG3.0:EED	EED
Vcar_XP_002948960.1	WD40.HG3.0:EED	EED
Aque_Aqu2.1.09091_001	WD40.HG3.0:EED	EED
Aque_Aqu2.1.00975_001	WD40.HG3.0:EED	EED
Linana_g22973.t1	WD40.HG3.0:EED	EED
Dmel_FBpp0079870	WD40.HG3.0:EED	EED
Hydvul_Sc4wPfr_6.g19136.t1	WD40.HG3.0:EED	EED
Cvar_XP_005851303.1	WD40.HG3.0:EED	EED
