gene	orthogroup	orthologous_to	family	architecture
Bnat_JGI_V11_131015	Acetyltransf_1.HG27.0:NA		Acetyltransf_1	Hat1_N Acetyltransf_1
Recame_RECAM_15295.mRNA.1	Acetyltransf_1.HG27.0:NA		Acetyltransf_1	Hat1_N Acetyltransf_1
Skow_NP_001171746.1	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N Acetyltransf_1
Jaklib_JAKLI_07130.mRNA.1	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N
Tadh_P53567	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N MOZ_SAS
Bnat_JGI_V11_131015	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N Acetyltransf_1
Recame_RECAM_15295.mRNA.1	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N Acetyltransf_1
Emul_CDI98387.1	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N
Mgut_XP_012831905.1	Hat1_N.HG1.0:HAT1	HAT1	Hat1_N	Hat1_N
Ocar_g10128.t1	Histone.HG1.3:MACROH2A1/MACROH2A2	MACROH2A1/MACROH2A2	Histone	zf-MYST MOZ_SAS Histone Histone_H2A_C Macro NAP NAP Ig_3
Nvec_NVE25944	LinkerHistone.HG1.5:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6/H1-8/H1-10/HP1BP3/SHPRH:likeclu:0/2/9/13/16/20		LinkerHistone	Linker_histone PHD PHD zf-C2HC zf-MYST MOZ_SAS
Ptyfla_pfl_40v0_9_20150316_1g22231.t1	LinkerHistone.HG1.5:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6/H1-8/H1-10/HP1BP3/SHPRH:likeclu:0/2/9/13/16/20		LinkerHistone	Linker_histone MOZ_SAS
Spis_XP_022786543_1	LinkerHistone.HG1.5:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6/H1-8/H1-10/HP1BP3/SHPRH:likeclu:0/2/9/13/16/20		LinkerHistone	Linker_histone PHD zf-C2HC zf-MYST MOZ_SAS
Notgen_g27227.t1	LinkerHistone.HG1.5:like:H1-0/H1-1/H1-2/H1-3/H1-4/H1-5/H1-6/H1-8/H1-10/HP1BP3/SHPRH:likeclu:0/2/9/13/16/20		LinkerHistone	Linker_histone PHD zf-C2HC zf-MYST MOZ_SAS
