gene	orthogroup	orthologous_to
Ancyromonadida|Plamic_ANCSI_10613.mRNA.1	aOG.eur_SIR20	
Amoebozoa|Plafun_PRP84121	aOG.eur_SIR20	
ArchaeCry|Gonavo_comp21509_c0_seq1_6_ORF8_309	aOG.eur_SIR20	
SARHap|Vitbra_CEM16772.1	aOG.eur_SIR20	
Obazoa|Lcom_lcpid67440	aOG.eur_SIR20	
CRuMs|Rigram_Gene.3485	aOG.eur_SIR20	
Discoba|Amobb2_AMBB2_05557.mRNA.1	aOG.eur_SIR20	
Amoebozoa|Acas_ELR24686	aOG.eur_SIR20	
Malawimonadidae|Gefoke_MALSP_12410.mRNA.1	aOG.eur_SIR20	
Obazoa|Ctel_CapteP229030	aOG.eur_SIR20	
Obazoa|Notgen_g23187.t1	aOG.eur_SIR20	
Malawimonadidae|Maljak_MALJA_16610.mRNA.1	aOG.eur_SIR20	
Obazoa|Clim_evm79s236	aOG.eur_SIR21	
Discoba|Ngru_EFC48622	aOG.eur_SIR21	
Malawimonadidae|Gefoke_MALSP_02984.mRNA.1	aOG.eur_SIR21	
ArchaeCry|Gonavo_comp53246_c0_seq3_6_ORF6_155	aOG.eur_SIR21	
Amoebozoa|Ddis_EAL72814	aOG.eur_SIR21	
Discoba|Phakir_PHAKIR_16963.mRNA.1	aOG.eur_SIR21	
Amoebozoa|Cavfas_EGG18058	aOG.eur_SIR21	
Amoebozoa|Plafun_PRP78648	aOG.eur_SIR21	
CRuMs|Rigram_Gene.19145	aOG.eur_SIR21	
Metamonada|Carmem_1522.p2	aOG.eur_SIR21	
SARHap|Aurlim_80724	aOG.eur_SIR21	
SARHap|Aplker_78679	aOG.eur_SIR21	
Obazoa|Pygbif_GCRY01002468.1.p1	aOG.eur_SIR22	
Discoba|Andgod_ANDGO_02655.mRNA.1	aOG.eur_SIR22	
Metamonada|Carmem_6428.p1	aOG.eur_SIR22	
Malawimonadidae|Gefoke_MALSP_02558.mRNA.1	aOG.eur_SIR22	
Amoebozoa|Acas_ELR13098	aOG.eur_SIR22	
SARHap|Bnat_JGI_V11_74504	aOG.eur_SIR22	
ArchaeCry|Gonavo_comp37868_c0_seq1_6_ORF5_271	aOG.eur_SIR22	
SARHap|Cvel_29124.t1-p1	aOG.eur_SIR23	
ArchaeCry|Klenit_GAQ78363.1	aOG.eur_SIR23	
ArchaeCry|Chabra_GBG86885	aOG.eur_SIR23	
ArchaeCry|Marpol_PTQ31328	aOG.eur_SIR23	
SARHap|Ngad_EWM23868	aOG.eur_SIR23	
Ancyromonadida|Fabtro_Gene.51093	aOG.eur_SIR24	
Obazoa|Auraur_scaffold1109.g1.t1	aOG.eur_SIR24	
Discoba|Styinc_Gene30936_m30936	aOG.eur_SIR25	
SARHap|Coka_g5011.t1	aOG.eur_SIR25	
Ancyromonadida|Fabtro_Gene.20505	aOG.eur_SIR25	
CRuMs|Manpla_Gene.7202	aOG.eur_SIR25	
Malawimonadidae|Gefoke_MALSP_06424.mRNA.1	aOG.eur_SIR26	
Obazoa|Sarc_Sarc4_g12227T	aOG.eur_SIR26	
SARHap|Vitbra_CEL99577.1	aOG.eur_SIR26	
Obazoa|Cfra_CFRG1215T1	aOG.eur_SIR26	
SARHap|Eimten_CDJ42555	aOG.eur_SIR26	
ArchaeCry|Sphfal_Sphfalx04G040200.1.p	aOG.eur_SIR27	
ArchaeCry|Smoe_EFJ20169	aOG.eur_SIR27	
ArchaeCry|Klenit_GAQ89127.1	aOG.eur_SIR27	
Amoebozoa|Acas_ELR22733	aOG.eur_SIR28	
Obazoa|Nk52_evm1s168	aOG.eur_SIR28	
Discoba|Amobb2_AMBB2_09911.mRNA.1	aOG.eur_SIR28	
SARHap|Aplker_62198	aOG.eur_SIR29	
Discoba|Ngru_EFC38796	aOG.eur_SIR29	
Amoebozoa|Plafun_PRP77438	aOG.eur_SIR29	
Hemimastigophora|Spimul_14890_TR8025_c0_g1	aOG.eur_SIR210	
Amoebozoa|Acas_ELR23078	aOG.eur_SIR210	
Discoba|Ngru_EFC42813	aOG.eur_SIR210	
Malawimonadidae|Gefoke_MALSP_04558.mRNA.1	aOG.eur_SIR210	
SARHap|Symmic_Smic41108	aOG.eur_SIR210	
CRuMs|Manpla_Gene.35069	aOG.eur_SIR210	
Obazoa|Apla_XP_022103732.1	aOG.eur_SIR211	
CRuMs|Manpla_Gene.22120	aOG.eur_SIR211	
ArchaeCry|Vcar_XP_002953392.1	aOG.eur_SIR211	
Amoebozoa|Plafun_PRP86334	aOG.eur_SIR211	
ArchaeCry|Marpol_PTQ32963	aOG.eur_SIR211	
Ancyromonadida|Fabtro_Gene.11305	aOG.eur_SIR211	
SARHap|Coka_g4989.t1	aOG.eur_SIR211	
SARHap|Ehux_EOD22799	aOG.eur_SIR212	
