in_gene	out_gene	branch_support	ev_type	sos
Ngad_EWM26217	Cang_ORZ39925	92.0	S	0.0
Ngad_EWM26217	Cmer_CMC158CT	92.0	S	0.0
Ngad_EWM26217	Schagg_35407	92.0	S	0.0
Ngad_EWM26217	Adig_XP_015768452.1	92.0	S	0.0
Ngad_EWM26217	Recame_RECAM_06081.mRNA.1	92.0	S	0.0
Ngad_EWM26217	Amac_KNE69551	92.0	S	0.0
Ngad_EWM26217	Porpur_KAA8498569.1	92.0	S	0.0
Ngad_EWM26217	Aplker_64921	92.0	S	0.0
Ngad_EWM26217	Hduj_OQV15478.1	92.0	S	0.0
Ngad_EWM26217	Secula_SECUL_00168.mRNA.1	92.0	S	0.0
Ngad_EWM26217	Amac_KNE68343	92.0	S	0.0
Tpse_EED90094	Cang_ORZ39925	92.0	S	0.0
Tpse_EED90094	Cmer_CMC158CT	92.0	S	0.0
Tpse_EED90094	Schagg_35407	92.0	S	0.0
Tpse_EED90094	Adig_XP_015768452.1	92.0	S	0.0
Tpse_EED90094	Recame_RECAM_06081.mRNA.1	92.0	S	0.0
Tpse_EED90094	Amac_KNE69551	92.0	S	0.0
Tpse_EED90094	Porpur_KAA8498569.1	92.0	S	0.0
Tpse_EED90094	Aplker_64921	92.0	S	0.0
Tpse_EED90094	Hduj_OQV15478.1	92.0	S	0.0
Tpse_EED90094	Secula_SECUL_00168.mRNA.1	92.0	S	0.0
Tpse_EED90094	Amac_KNE68343	92.0	S	0.0
Plabra_CEO98774	Cang_ORZ39925	92.0	S	0.0
Plabra_CEO98774	Cmer_CMC158CT	92.0	S	0.0
Plabra_CEO98774	Schagg_35407	92.0	S	0.0
Plabra_CEO98774	Adig_XP_015768452.1	92.0	S	0.0
Plabra_CEO98774	Recame_RECAM_06081.mRNA.1	92.0	S	0.0
Plabra_CEO98774	Amac_KNE69551	92.0	S	0.0
Plabra_CEO98774	Porpur_KAA8498569.1	92.0	S	0.0
Plabra_CEO98774	Aplker_64921	92.0	S	0.0
Plabra_CEO98774	Hduj_OQV15478.1	92.0	S	0.0
Plabra_CEO98774	Secula_SECUL_00168.mRNA.1	92.0	S	0.0
Plabra_CEO98774	Amac_KNE68343	92.0	S	0.0
Mbre_EDQ85087	Cang_ORZ39925	92.0	S	0.0
Mbre_EDQ85087	Cmer_CMC158CT	92.0	S	0.0
Mbre_EDQ85087	Schagg_35407	92.0	S	0.0
Mbre_EDQ85087	Adig_XP_015768452.1	92.0	S	0.0
Mbre_EDQ85087	Recame_RECAM_06081.mRNA.1	92.0	S	0.0
Mbre_EDQ85087	Amac_KNE69551	92.0	S	0.0
Mbre_EDQ85087	Porpur_KAA8498569.1	92.0	S	0.0
Mbre_EDQ85087	Aplker_64921	92.0	S	0.0
Mbre_EDQ85087	Hduj_OQV15478.1	92.0	S	0.0
Mbre_EDQ85087	Secula_SECUL_00168.mRNA.1	92.0	S	0.0
Mbre_EDQ85087	Amac_KNE68343	92.0	S	0.0
Tmel_CAZ84167	Cang_ORZ39925	92.0	S	0.0
Tmel_CAZ84167	Cmer_CMC158CT	92.0	S	0.0
Tmel_CAZ84167	Schagg_35407	92.0	S	0.0
Tmel_CAZ84167	Adig_XP_015768452.1	92.0	S	0.0
Tmel_CAZ84167	Recame_RECAM_06081.mRNA.1	92.0	S	0.0
Tmel_CAZ84167	Amac_KNE69551	92.0	S	0.0
Tmel_CAZ84167	Porpur_KAA8498569.1	92.0	S	0.0
Tmel_CAZ84167	Aplker_64921	92.0	S	0.0
Tmel_CAZ84167	Hduj_OQV15478.1	92.0	S	0.0
Tmel_CAZ84167	Secula_SECUL_00168.mRNA.1	92.0	S	0.0
Tmel_CAZ84167	Amac_KNE68343	92.0	S	0.0
Ncra_EAA34500	Cang_ORZ39925	92.0	S	0.0
Ncra_EAA34500	Cmer_CMC158CT	92.0	S	0.0
Ncra_EAA34500	Schagg_35407	92.0	S	0.0
Ncra_EAA34500	Adig_XP_015768452.1	92.0	S	0.0
Ncra_EAA34500	Recame_RECAM_06081.mRNA.1	92.0	S	0.0
Ncra_EAA34500	Amac_KNE69551	92.0	S	0.0
Ncra_EAA34500	Porpur_KAA8498569.1	92.0	S	0.0
Ncra_EAA34500	Aplker_64921	92.0	S	0.0
Ncra_EAA34500	Hduj_OQV15478.1	92.0	S	0.0
Ncra_EAA34500	Secula_SECUL_00168.mRNA.1	92.0	S	0.0
Ncra_EAA34500	Amac_KNE68343	92.0	S	0.0
Coerev_PIA18510.1	Acoe_PIA55240.1	92.0	S	0.0
Coerev_PIA18510.1	Nk52_evm35s210	92.0	S	0.0
Coerev_PIA18510.1	Cfra_CFRG5675T1	92.0	S	0.0
Coerev_PIA18510.1	Ppat_Pp3c14_5700V3.1	92.0	S	0.0
Coerev_PIA18510.1	Azfi_s0109.g045328	92.0	S	0.0
Coerev_PIA18510.1	Sarc_Sarc4_g4130T	92.0	S	0.0
Coerev_PIA18510.1	Adig_XP_015763042.1	92.0	S	0.0
Coerev_PIA18510.1	Marpol_PTQ41320	92.0	S	0.0
Coerev_PIA18510.1	Smoe_EFJ23010	92.0	S	0.0
Coerev_PIA18510.1	Manpla_Gene.14397	92.0	S	0.0
Coerev_PIA18510.1	Morvir_scaffold464.g8.t1	92.0	S	0.0
Coerev_PIA18510.1	Atha_AT3G49660.1	92.0	S	0.0
Coerev_PIA18510.1	Tadh_P51237	92.0	S	0.0
Coerev_PIA18510.1	Ppat_Pp3c2_20770V3.1	92.0	S	0.0
Coerev_PIA18510.1	Lcom_lcpid70639	92.0	S	0.0
Coerev_PIA18510.1	Cocsub_XP_005646600.1	92.0	S	0.0
Coerev_PIA18510.1	Pisp_OUM64069.1	92.0	S	0.0
Coerev_PIA18510.1	Cint_ENSCINP00000014310.3	92.0	S	0.0
Coerev_PIA18510.1	Atri_ERN00811	92.0	S	0.0
Coerev_PIA18510.1	Maljak_MALJA_14251.mRNA.1	92.0	S	0.0
Coerev_PIA18510.1	Bdis_KQK13447	92.0	S	0.0
Coerev_PIA18510.1	Morelo_OAQ36270	92.0	S	0.0
Coerev_PIA18510.1	Helrob_HelroP83337	92.0	S	0.0
Coerev_PIA18510.1	Meteor_CRO19MET_NODE_7006.p1	92.0	S	0.0
Coerev_PIA18510.1	Klenit_GAQ88055.1	92.0	S	0.0
Coerev_PIA18510.1	Aque_Aqu2.1.43957_001	92.0	S	0.0
Coerev_PIA18510.1	Dpul_EFX67864	92.0	S	0.0
Coerev_PIA18510.1	Gonavo_comp39020_c0_seq1_6_ORF14_239	92.0	S	0.0
Coerev_PIA18510.1	Spun_KND04030	92.0	S	0.0
Coerev_PIA18510.1	Dmel_FBpp0088514	92.0	S	0.0
Coerev_PIA18510.1	Hsap_ENSP00000330381.4	92.0	S	0.0
Coerev_PIA18510.1	Exapal_XP_020917619.1	92.0	S	0.0
Coerev_PIA18510.1	Emul_CDS35886.1	92.0	S	0.0
Coerev_PIA18510.1	Plebac_Pbla_mRNA_647	92.0	S	0.0
Coerev_PIA18510.1	Emue_0006g1558a	92.0	S	0.0
Coerev_PIA18510.1	Hetalb_XP_020438863.1	92.0	S	0.0
Coerev_PIA18510.1	Sbic_KXG36525	92.0	S	0.0
Coerev_PIA18510.1	Tadh_P53600	92.0	S	0.0
Coerev_PIA18510.1	Amobb2_AMBB2_05022.mRNA.1	92.0	S	0.0
Coerev_PIA18510.1	Cavfas_EGG19200	92.0	S	0.0
Coerev_PIA18510.1	Hduj_OQV19174.1	92.0	S	0.0
Coerev_PIA18510.1	Ptyfla_pfl_40v0_9_20150316_1g28339.t1	92.0	S	0.0
Coerev_PIA18510.1	Cowc_KJE96586	92.0	S	0.0
Coerev_PIA18510.1	Chocri_XP_005715342.1	92.0	S	0.0
Coerev_PIA18510.1	Ihof_evm1s720	92.0	S	0.0
Coerev_PIA18510.1	Ramvar_GAU98861.1	92.0	S	0.0
Coerev_PIA18510.1	Dmel_FBpp0070422	92.0	S	0.0
Coerev_PIA18510.1	Notgen_g19813.t1	92.0	S	0.0
Coerev_PIA18510.1	Chabra_GBG83220	92.0	S	0.0
Coerev_PIA18510.1	Diprot_Gene.9447	92.0	S	0.0
Coerev_PIA18510.1	Hsap_ENSP00000351446.3	92.0	S	0.0
Coerev_PIA18510.1	Sphfal_Sphfalx14G085800.1.p	92.0	S	0.0
Coerev_PIA18510.1	Marpol_PTQ47306	92.0	S	0.0
Coerev_PIA18510.1	Amobb2_AMBB2_05022.mRNA.3	92.0	S	0.0
Coerev_PIA18510.1	Spur_XP_030854108.1	92.0	S	0.0
Coerev_PIA18510.1	Cgig_EKC41162	92.0	S	0.0
Coerev_PIA18510.1	Atri_ERN00806	92.0	S	0.0
Coerev_PIA18510.1	Fabtro_Gene.27058	92.0	S	0.0
Coerev_PIA18510.1	Sacu_v1.1_s2112.g028262	92.0	S	0.0
Coerev_PIA18510.1	Acoe_PIA30708.1	92.0	S	0.0
Coerev_PIA18510.1	Lgig_LotgiP200955	92.0	S	0.0
Coerev_PIA18510.1	Ddis_EAL63798	92.0	S	0.0
Coerev_PIA18510.1	Bden_EGF79460	92.0	S	0.0
Coerev_PIA18510.1	Rhidel_EIE76197	92.0	S	0.0
Coerev_PIA18510.1	Hydvul_Sc4wPfr_353.g28179.t1	92.0	S	0.0
Coerev_PIA18510.1	Malcal_MALCA_00143.mRNA.1	92.0	S	0.0
Coerev_PIA18510.1	Clyhem_TCONS_00016751-protein	92.0	S	0.0
Coerev_PIA18510.1	Gefoke_MALSP_02698.mRNA.1	92.0	S	0.0
Coerev_PIA18510.1	Drer_ENSDARP00000017859.8	92.0	S	0.0
Coerev_PIA18510.1	Rirr_GBC23311	92.0	S	0.0
Coerev_PIA18510.1	Phakir_PHAKIR_09311.mRNA.1	92.0	S	0.0
Coerev_PIA18510.1	Cscu_XP_023243931.1	92.0	S	0.0
