Spur_XP_030839454.1	RVT_1 BRCT BRCT_2
Spur_XP_030850087.1	PHD Exo_endo_phos_2 RVT_1
Spur_XP_030842515.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Spur_XP_030842506.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Spur_XP_030841878.1	NACHT PHD RVT_1
Spur_XP_030842516.1	CHDNT PHD PHD Chromo SNF2_N Helicase_C DUF1087 DUF1086 CHDCT2
Spur_XP_030838378.1	Exo_endo_phos RVT_1 Histone
Spur_XP_030827910.1	zf-CXXC DDE_Tnp_IS1595
