gene	orthogroup	orthologous_to	family	architecture
Spur_XP_030854578.1	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1/HIF1A/HIF3A	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000004329.6	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	HIF1A	HIF-1	PAS_9 PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000155554.1	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000044281.5	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	HIF1A	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000108595.2	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	islike:HIF3A	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000132400.1	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	HIF3A	HIF-1	PAS PAS_3 HIF-1
Hsap_ENSP00000263734.3	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000021260.9	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Hsap_ENSP00000366898.3	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	HIF3A	HIF-1	PAS PAS_3 HIF-1
Drer_ENSDARP00000074832.5	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Drer_ENSDARP00000151831.1	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Hsap_ENSP00000437955.1	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	HIF1A	HIF-1	PAS PAS_3 HIF-1 HIF-1a_CTAD
Cgig_EKC33928	HIF-1.HG1.0:EPAS1/HIF1A/HIF3A	EPAS1/HIF1A/HIF3A	HIF-1	HLH PAS PAS_3 HIF-1
