Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Gthe_88396,432,3.7037037037037,2,1
Gthe_155075,82,14.6341463414634,4,1
Gthe_95420_Histone_H3,136,20.5882352941176,15,5
Gthe_159195,258,3.10077519379845,2,1
Gthe_99399,1092,1.19047619047619,1,1
Gthe_151244,556,1.79856115107914,1,1
Gthe_155193,321,2.80373831775701,1,1
Gthe_93809,223,3.58744394618834,2,1
Gthe_150034,408,4.16666666666667,3,2
Gthe_NUCL_XP_001713453.1,375,2.4,1,1
Gthe_165796,372,4.83870967741935,1,1
Gthe_154108,179,12.8491620111732,20,4
Gthe_102091,74,50.0,26,7
Gthe_164249,225,3.55555555555556,2,1
Gthe_150205,65,20.0,2,1
Gthe_155767,222,9.00900900900901,4,1
CON_007083981,607,10.3789126853377,8,6
Gthe_166560,339,2.94985250737463,1,1
Gthe_96974,445,2.69662921348315,1,1
Gthe_103067,88,17.0454545454545,1,1
Gthe_113202,67,25.3731343283582,5,2
Gthe_70655,651,2.45775729646697,2,1
Gthe_119438,704,5.68181818181818,6,4
Gthe_115036,543,2.02578268876611,2,1
CON_IPI007458722,609,3.61247947454844,4,3
CON_006222404,707,1.98019801980198,2,1
Gthe_111593,438,3.19634703196347,2,1
Gthe_113470,470,1.27659574468085,1,1
Gthe_89755,85,7.05882352941176,1,1
Gthe_165520,326,2.14723926380368,1,1
Gthe_103183,1146,9.07504363001745,2,1
Gthe_154875,168,12.5,4,3
Gthe_103709,377,6.10079575596817,3,2
Gthe_159140,118,7.6271186440678,1,1
Gthe_98800_Histone_H2A,145,24.1379310344828,6,3
Gthe_101694,1317,0.455580865603645,1,1
Gthe_144503,589,1.35823429541596,1,1
CON_000098652,593,4.04721753794266,2,2
Gthe_87361,260,6.92307692307692,2,2
Gthe_107099,102,7.84313725490196,1,1
Gthe_116113,191,4.18848167539267,2,1
Gthe_79254,339,3.83480825958702,1,1
Gthe_152127,145,11.7241379310345,5,2
Gthe_90395,240,3.33333333333333,2,1
Gthe_97977,215,3.72093023255814,2,1
Gthe_150127,62,41.9354838709677,11,5
Gthe_151398,232,20.2586206896552,5,4
Gthe_136143,525,4.38095238095238,2,2
Gthe_153270,259,5.40540540540541,3,2
Gthe_161151,245,13.0612244897959,1,1
Gthe_153090,323,3.71517027863777,1,1
Gthe_96472,348,2.29885057471264,1,1
Gthe_98671,126,6.34920634920635,1,1
CON_007110311,641,2.49609984399376,2,1
Gthe_150645,451,1.99556541019956,2,1
Gthe_163194,271,7.01107011070111,2,2
Gthe_157094,176,6.25,2,1
Gthe_163417,708,1.8361581920904,2,1
Gthe_152255,61,27.8688524590164,5,2
CON_Trypsin,231,16.4502164502165,23,3
Gthe_150093,225,7.55555555555556,3,2
Gthe_154540,75,13.3333333333333,1,1
Gthe_78283,286,19.5804195804196,1,1
Gthe_70855_Histone_H4,103,44.6601941747573,39,8
Gthe_80405,732,0.819672131147541,1,1
Gthe_NUCL_XP_001713522.1_Histone_H4_NUCL,104,9.61538461538462,1,1
Gthe_162182,943,0.742311770943796,2,1
Gthe_97141,187,27.2727272727273,14,6
Gthe_100176_Histone_H2A,218,4.12844036697248,4,1
Gthe_106881,261,3.44827586206897,1,1
Gthe_148154,1740,0.459770114942529,1,1
Gthe_137715,995,0.703517587939699,1,1
Gthe_155098,399,2.75689223057644,2,1
Gthe_96636_Histone_H2A,145,24.1379310344828,6,3
Gthe_153906,323,1.85758513931889,2,1
Gthe_151161,166,9.63855421686747,3,2
Gthe_162790,241,22.4066390041494,7,6
Gthe_52948,265,10.5660377358491,5,2
Gthe_115996,1206,12.6036484245439,17,11
Gthe_164186,314,5.4140127388535,3,2
Gthe_156612,61,42.6229508196721,11,5
Gthe_156461,244,6.55737704918033,1,1
Gthe_NUCL_XP_001713213.1,430,1.62790697674419,1,1
Gthe_84932,616,4.05844155844156,4,2
Gthe_149923,472,3.8135593220339,2,2
Gthe_65579,875,2.28571428571429,2,2
Gthe_153013,364,3.02197802197802,1,1
Gthe_101955,66,18.1818181818182,1,1
Gthe_63927_Histone_H3,136,36.0294117647059,26,8
Gthe_150665,61,70.4918032786885,24,6
Gthe_153138,125,39.2,31,6
Gthe_165364,424,23.3490566037736,9,6
Gthe_42430_Histone_H3,123,22.7642276422764,15,5
Gthe_163551,299,2.67558528428094,1,1
Gthe_162413,234,3.41880341880342,2,1
CON_007083982,609,10.3448275862069,8,6
Gthe_102382,537,9.12476722532588,4,3
Gthe_161592,651,2.45775729646697,2,1
Gthe_153070,61,27.8688524590164,5,2
Gthe_152496,130,8.46153846153846,1,1
Gthe_153239,263,4.94296577946768,2,1
Gthe_141114,827,1.08827085852479,2,1
CON_006989001,375,2.66666666666667,1,1
CON_000213041,645,4.65116279069767,3,2
Gthe_85907,401,9.22693266832918,6,4
Gthe_84956,450,2.44444444444444,2,1
Gthe_66997,501,6.38722554890219,2,2
Gthe_83766,650,1.23076923076923,1,1
Gthe_153130,597,1.50753768844221,1,1
Gthe_141669,888,8.10810810810811,1,1
Gthe_154268,115,73.9130434782609,22,14
Gthe_157406,99,11.1111111111111,2,1
Gthe_150452,365,4.65753424657534,1,1
Gthe_112115,93,27.9569892473118,11,5
Gthe_164385,626,6.54952076677316,5,4
Gthe_83562,275,2.90909090909091,2,1
Gthe_49238_Histone_H2A,86,33.7209302325581,13,6
Gthe_98784,327,2.14067278287462,1,1
