Transcript	start_cds	end_cds	start_pep	end_pep	NumReads
Drer_ENSDART00000078494	0	2415	0	805	12.43118687
Drer_ENSDART00000130062	0	5787	0	1929	30.99391892
Drer_ENSDART00000148389	0	5859	0	1953	34.31374277
Drer_ENSDART00000156717	11	5460	3	1820	16.67676489
Drer_ENSDART00000159655	0	4290	0	1430	5.422894737
Drer_ENSDART00000166969	0	5940	0	1980	31.27281106
Drer_ENSDART00000179934	0	4389	0	1463	5.81778291
Drer_ENSDART00000180899	0	4389	0	1463	6.322696629
Drer_ENSDART00000183119	0	4284	0	1428	6.305762971
Drer_ENSDART00000183946	0	4186	0	1395	3.968120805
Drer_ENSDART00000185486	0	1036	0	345	1.757281553
Drer_ENSDART00000185486	1124	4035	374	1345	2.122727273
Drer_ENSDART00000185486	4044	4279	1348	1426	1.25
Drer_ENSDART00000186877	0	4284	0	1428	5.340282949
Drer_ENSDART00000188717	133	355	44	118	1.4
Drer_ENSDART00000188717	386	486	128	162	1
Drer_ENSDART00000188717	921	1043	307	347	1.333333333
Drer_ENSDART00000188717	1049	1294	349	431	1.333333333
Drer_ENSDART00000188717	1499	1600	499	533	1.333333333
Drer_ENSDART00000188717	1731	2092	577	697	1.333333333
Drer_ENSDART00000188717	2164	2264	721	754	1
Drer_ENSDART00000188717	2396	3353	798	1117	1.4
Drer_ENSDART00000188717	3358	3887	1119	1295	1.285714286
Drer_ENSDART00000188717	3890	4324	1296	1441	1.666666667
Drer_ENSDART00000189948	0	4395	0	1465	14.97632914
Drer_ENSDART00000190293	0	1994	0	664	6.440397351
Drer_ENSDART00000190293	1995	4368	665	1456	6.09734182
Drer_ENSDART00000193193	112	292	37	97	1.461538462
Drer_ENSDART00000193193	311	1701	103	567	12.85973597
