Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Dpul_mRNA27550	906	706.112	22.800432	207.000	SRR6356518	Dpul_EFX72335
Dpul_mRNA27550	906	707.455	25.621013	219.000	SRR6356519	Dpul_EFX72335
Dpul_mRNA27550	906	660.118	17.123454	176.000	SRR6356520	Dpul_EFX72335
Dpul_mRNA27550	906	656.041	19.964377	136.000	SRR6356521	Dpul_EFX72335
Dpul_mRNA27550	906	675.057	12.858058	135.000	SRR6356522	Dpul_EFX72335
Dpul_mRNA27550	906	699.920	34.255810	249.000	SRR6356523	Dpul_EFX72335
Dpul_mRNA27550	906	695.572	14.223346	106.000	SRR6356524	Dpul_EFX72335
Dpul_mRNA27550	906	667.597	16.619671	212.000	SRR6356525	Dpul_EFX72335
Dpul_mRNA27550	906	673.311	16.998453	158.000	SRR6356526	Dpul_EFX72335
Dpul_mRNA27550	906	675.246	54.297630	412.000	SRR6356527	Dpul_EFX72335
Dpul_mRNA27550	906	670.869	13.244431	146.000	SRR6356528	Dpul_EFX72335
Dpul_mRNA27550	906	696.771	32.027131	255.000	SRR6356529	Dpul_EFX72335
Dpul_mRNA27550	906	707.050	22.893348	152.000	SRR6356530	Dpul_EFX72335
Dpul_mRNA27550	906	704.998	20.121892	206.000	SRR6356531	Dpul_EFX72335
Dpul_mRNA27550	906	702.274	15.067072	255.000	SRR6356532	Dpul_EFX72335
Dpul_mRNA27550	906	694.609	39.844682	379.000	SRR6356533	Dpul_EFX72335
Dpul_mRNA27550	906	686.930	30.400370	315.412	SRR6356534	Dpul_EFX72335
Dpul_mRNA27550	906	669.773	24.381221	328.000	SRR6356535	Dpul_EFX72335
Dpul_mRNA27550	906	704.408	45.261835	372.000	SRR6356536	Dpul_EFX72335
Dpul_mRNA27550	906	698.943	17.888481	148.000	SRR6356537	Dpul_EFX72335
Dpul_mRNA27550	906	692.798	12.758203	115.000	SRR6356538	Dpul_EFX72335
Dpul_mRNA27550	906	685.109	41.276215	414.106	SRR6356539	Dpul_EFX72335
Dpul_mRNA27550	906	684.416	25.178796	236.000	SRR6356540	Dpul_EFX72335
Dpul_mRNA27550	906	663.500	8.467232	91.000	SRR6356541	Dpul_EFX72335
Dpul_mRNA27550	906	690.481	33.879412	302.000	SRR6356542	Dpul_EFX72335
Dpul_mRNA27550	906	666.699	37.597829	376.000	SRR6356547	Dpul_EFX72335
Dpul_mRNA27550	906	674.708	35.719031	325.000	SRR6356548	Dpul_EFX72335
Dpul_mRNA27550	906	669.000	25.742731	177.000	SRR6356549	Dpul_EFX72335
Dpul_mRNA27550	906	664.242	39.667094	438.000	SRR6356550	Dpul_EFX72335
Dpul_mRNA27550	906	687.806	26.476974	213.780	SRR6356551	Dpul_EFX72335
Dpul_mRNA27550	906	680.361	17.665841	167.000	SRR6356552	Dpul_EFX72335
Dpul_mRNA27550	906	686.981	22.467453	190.000	SRR6356553	Dpul_EFX72335
Dpul_mRNA27550	906	676.572	21.309570	214.000	SRR6356554	Dpul_EFX72335
Dpul_mRNA27550	906	666.165	16.076331	210.889	SRR6356555	Dpul_EFX72335
Dpul_mRNA27550	906	682.322	16.594326	129.292	SRR6356556	Dpul_EFX72335
Dpul_mRNA27550	906	702.122	14.955920	222.000	SRR6356557	Dpul_EFX72335
Dpul_mRNA27550	906	697.590	27.146675	222.750	SRR6356558	Dpul_EFX72335
Dpul_mRNA27550	906	703.333	27.807218	271.008	SRR6356559	Dpul_EFX72335
Dpul_mRNA27550	906	708.950	14.005869	169.000	SRR6356560	Dpul_EFX72335
Dpul_mRNA27550	906	707.099	14.768723	111.000	SRR6356561	Dpul_EFX72335
Dpul_mRNA27550	906	654.131	13.266480	121.000	SRR6356562	Dpul_EFX72335
