Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Ddis_EAL60556	678	501.679	192.433532	423.000	SRR5099643	Ddis_EAL60556
Ddis_EAL60556	678	497.565	143.136350	266.000	SRR5099644	Ddis_EAL60556
Ddis_EAL60556	678	499.043	132.284473	210.000	SRR5099645	Ddis_EAL60556
Ddis_EAL60556	678	492.045	106.602442	207.000	SRR5099646	Ddis_EAL60556
Ddis_EAL60556	678	505.654	86.820392	146.000	SRR5099647	Ddis_EAL60556
Ddis_EAL60556	678	492.340	69.010732	112.000	SRR5099648	Ddis_EAL60556
Ddis_EAL60556	678	502.045	62.772818	119.000	SRR5099649	Ddis_EAL60556
Ddis_EAL60556	678	507.536	29.010612	19.000	SRR5099650	Ddis_EAL60556
Ddis_EAL60556	678	503.690	38.351380	73.000	SRR5099651	Ddis_EAL60556
Ddis_EAL60556	678	503.527	16.665562	42.000	SRR5099652	Ddis_EAL60556
Ddis_EAL60556	678	505.636	15.899674	29.000	SRR5099653	Ddis_EAL60556
Ddis_EAL60556	678	502.245	10.610241	24.000	SRR5099654	Ddis_EAL60556
Ddis_EAL60556	678	505.854	25.442004	50.000	SRR5099655	Ddis_EAL60556
Ddis_EAL60556	678	481.063	170.307095	414.000	SRR5099656	Ddis_EAL60556
Ddis_EAL60556	678	479.308	195.927988	389.000	SRR5099657	Ddis_EAL60556
Ddis_EAL60556	678	490.955	139.163177	264.000	SRR5099658	Ddis_EAL60556
Ddis_EAL60556	678	494.094	128.198529	230.000	SRR5099660	Ddis_EAL60556
Ddis_EAL60556	678	495.035	67.743574	99.000	SRR5099661	Ddis_EAL60556
Ddis_EAL60556	678	489.992	47.750798	104.000	SRR5099662	Ddis_EAL60556
Ddis_EAL60556	678	483.293	27.330549	66.000	SRR5099663	Ddis_EAL60556
Ddis_EAL60556	678	499.100	25.133229	59.000	SRR5099664	Ddis_EAL60556
Ddis_EAL60556	678	498.687	41.447459	77.000	SRR5099665	Ddis_EAL60556
