in_gene	out_gene	branch_support	ev_type	sos
Symmic_Smic2601	Ttra_KNC49246	85.0	S	0.0
Symmic_Smic2601	Andgod_ANDGO_00958.mRNA.1	85.0	S	0.0
Symmic_Smic2601	Manpla_Gene.25828	85.0	S	0.0
Symmic_Smic2601	Manpla_Gene.38243	85.0	S	0.0
Symmic_Smic2601	Ehux_EOD41944	85.0	S	0.0
Symmic_Smic2601	Gonavo_g34045.t1	85.0	S	0.0
Symmic_Smic2601	Aplker_96563	85.0	S	0.0
Pavlsp_1151005	Ttra_KNC49246	85.0	S	0.0
Pavlsp_1151005	Andgod_ANDGO_00958.mRNA.1	85.0	S	0.0
Pavlsp_1151005	Manpla_Gene.25828	85.0	S	0.0
Pavlsp_1151005	Manpla_Gene.38243	85.0	S	0.0
Pavlsp_1151005	Ehux_EOD41944	85.0	S	0.0
Pavlsp_1151005	Gonavo_g34045.t1	85.0	S	0.0
Pavlsp_1151005	Aplker_96563	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Ttra_KNC49246	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Andgod_ANDGO_00958.mRNA.1	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Manpla_Gene.25828	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Manpla_Gene.38243	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Ehux_EOD41944	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Gonavo_g34045.t1	85.0	S	0.0
Jaklib_JAKLI_24793.mRNA.1	Aplker_96563	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Ttra_KNC49246	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Andgod_ANDGO_00958.mRNA.1	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Manpla_Gene.25828	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Manpla_Gene.38243	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Ehux_EOD41944	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Gonavo_g34045.t1	85.0	S	0.0
Phatri_Phatr3_EG01368.p1	Aplker_96563	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Ttra_KNC49246	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Andgod_ANDGO_00958.mRNA.1	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Manpla_Gene.25828	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Manpla_Gene.38243	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Ehux_EOD41944	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Gonavo_g34045.t1	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Aplker_96563	85.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Symmic_Smic2601	54.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Phatri_Phatr3_EG01368.p1	54.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Pavlsp_1151005	54.0	S	0.0
Bremin_symbB.v1.2.006246.t1	Jaklib_JAKLI_24793.mRNA.1	54.0	S	0.0
Gonavo_g34045.t1	Ttra_KNC49246	56.0	S	0.0
Gonavo_g34045.t1	Ehux_EOD41944	56.0	S	0.0
Gonavo_g34045.t1	Andgod_ANDGO_00958.mRNA.1	56.0	S	0.0
Gonavo_g34045.t1	Aplker_96563	56.0	S	0.0
Manpla_Gene.38243	Ttra_KNC49246	56.0	S	0.0
Manpla_Gene.38243	Ehux_EOD41944	56.0	S	0.0
Manpla_Gene.38243	Andgod_ANDGO_00958.mRNA.1	56.0	S	0.0
Manpla_Gene.38243	Aplker_96563	56.0	S	0.0
Manpla_Gene.25828	Ttra_KNC49246	56.0	S	0.0
Manpla_Gene.25828	Ehux_EOD41944	56.0	S	0.0
Manpla_Gene.25828	Andgod_ANDGO_00958.mRNA.1	56.0	S	0.0
Manpla_Gene.25828	Aplker_96563	56.0	S	0.0
Phatri_Phatr3_EG01368.p1	Symmic_Smic2601	78.0	S	0.0
