Lpol_gene-COX1	Lpol_1_1
Lpol_gene-COX2	Lpol_1_2
Lpol_gene-ATP8	Lpol_1_3
Lpol_gene-ATP6	Lpol_1_4
Lpol_gene-COX3	Lpol_1_5
Lpol_gene-ND3	Lpol_1_6
Lpol_gene-ND5	Lpol_1_7
Lpol_gene-ND4	Lpol_1_8
Lpol_gene-ND4L	Lpol_1_9
Lpol_gene-ND6	Lpol_1_10
Lpol_gene-CYTB	Lpol_1_11
Lpol_gene-ND1	Lpol_1_12
Lpol_gene-ND2	Lpol_1_13
Lpol_XM_013919817.2	Lpol_2_1
Lpol_XM_022384666.1	Lpol_2_2
Lpol_XM_022385391.1	Lpol_2_3
Lpol_XM_022383585.1	Lpol_2_4
Lpol_XM_022384384.1	Lpol_2_5
Lpol_XM_013917639.2	Lpol_2_6
Lpol_XM_022385962.1	Lpol_2_7
Lpol_XM_022389336.1	Lpol_2_8
Lpol_XM_013917246.2	Lpol_2_9
Lpol_XM_022385536.1	Lpol_2_10
Lpol_XM_013919818.1	Lpol_2_11
Lpol_XM_022392906.1	Lpol_2_12
Lpol_XM_022393657.1	Lpol_2_13
Lpol_XM_022394401.1	Lpol_2_14
Lpol_XM_022395165.1	Lpol_2_15
Lpol_XM_022400518.1	Lpol_2_16
Lpol_XM_013938764.2	Lpol_2_17
Lpol_XM_022402222.1	Lpol_2_18
Lpol_XM_013917601.2	Lpol_2_19
Lpol_XM_013924161.2	Lpol_2_20
Lpol_XM_022380473.1	Lpol_2_21
Lpol_XM_013925239.2	Lpol_2_22
Lpol_XM_013938875.1	Lpol_2_23
Lpol_XM_022381878.1	Lpol_2_24
Lpol_XM_013926314.1	Lpol_2_25
Lpol_XM_022382044.1	Lpol_2_26
Lpol_XM_022384911.1	Lpol_2_27
Lpol_XM_013939232.2	Lpol_2_28
Lpol_XM_013918183.2	Lpol_2_29
Lpol_XM_013939339.2	Lpol_2_30
Lpol_XM_013929560.2	Lpol_2_31
Lpol_XM_022385078.1	Lpol_2_32
Lpol_XM_022382443.1	Lpol_2_33
Lpol_XM_022382577.1	Lpol_2_34
Lpol_XM_013933845.2	Lpol_2_35
Lpol_XM_022382784.1	Lpol_2_36
Lpol_XM_013939453.2	Lpol_2_37
Lpol_XM_013916272.2	Lpol_2_38
Lpol_XM_013918291.2	Lpol_2_39
Lpol_XM_013916451.2	Lpol_2_40
Lpol_XM_022383530.1	Lpol_2_41
Lpol_XM_013918475.2	Lpol_2_42
Lpol_XM_013916698.2	Lpol_2_43
Lpol_XM_013937963.1	Lpol_2_44
Lpol_XM_013916811.2	Lpol_2_45
Lpol_XM_022385313.1	Lpol_2_46
Lpol_XM_013916921.2	Lpol_2_47
Lpol_XM_022385729.1	Lpol_2_48
Lpol_XM_013918657.2	Lpol_3_1
Lpol_XM_013922019.2	Lpol_3_2
Lpol_XM_013924545.1	Lpol_3_3
Lpol_XM_013924370.2	Lpol_3_4
Lpol_XM_013924652.2	Lpol_3_5
Lpol_XM_013918875.2	Lpol_3_6
