in_gene	out_gene	branch_support	ev_type	sos
Hduj_OQV16774.1	Rigram_Gene.24389	99.0	S	0.0
Hduj_OQV16774.1	Ehux_EOD25995	99.0	S	0.0
Hduj_OQV16774.1	Sappar_KDO34131	99.0	S	0.0
Hduj_OQV16774.1	Pavlsp_1037333	99.0	S	0.0
Hduj_OQV16774.1	Klenit_GAQ86387.1	99.0	S	0.0
Hduj_OQV16774.1	Azfi_s0066.g036069	99.0	S	0.0
Hduj_OQV16774.1	Sacu_v1.1_s0002.g001262	99.0	S	0.0
Hduj_OQV16774.1	Marpol_PTQ31887	99.0	S	0.0
Hduj_OQV16774.1	Clyhem_TCONS_00021143-protein	99.0	S	0.0
Hduj_OQV16774.1	Cvel_23660.t1-p1	99.0	S	0.0
Hduj_OQV16774.1	Rirr_GBC30421	99.0	S	0.0
Hduj_OQV16774.1	Caulen_g5023.t1	99.0	S	0.0
Hduj_OQV16774.1	Cint_ENSCINP00000032769.1	99.0	S	0.0
Hduj_OQV16774.1	Tpse_EED95062	99.0	S	0.0
Hduj_OQV16774.1	Apla_XP_022085190.1	99.0	S	0.0
Hduj_OQV16774.1	Aurlim_74473	99.0	S	0.0
Hduj_OQV16774.1	Cvar_XP_005847430.1	99.0	S	0.0
Hduj_OQV16774.1	Emue_0016g81a	99.0	S	0.0
Hduj_OQV16774.1	Spur_XP_785187.1	99.0	S	0.0
Hduj_OQV16774.1	Ttra_KNC52651	99.0	S	0.0
Hduj_OQV16774.1	Schagg_26154	99.0	S	0.0
Hduj_OQV16774.1	Plamic_ANCSI_05878.mRNA.1	99.0	S	0.0
Hduj_OQV16774.1	Nk52_evm35s2612	99.0	S	0.0
Hduj_OQV16774.1	Ngad_EWM23659	99.0	S	0.0
Hduj_OQV16774.1	Tmel_CAZ80274	99.0	S	0.0
Hduj_OQV16774.1	Aque_Aqu2.1.37258_001	99.0	S	0.0
Hduj_OQV16774.1	Lpol_XP_013781842.1	99.0	S	0.0
Hduj_OQV16774.1	Recame_RECAM_02327.mRNA.1	99.0	S	0.0
Hduj_OQV16774.1	Plafun_PRP81358	99.0	S	0.0
Hduj_OQV16774.1	Gpro_KXS21506	99.0	S	0.0
Hduj_OQV16774.1	Emue_0016g67a	99.0	S	0.0
Hduj_OQV16774.1	Ctel_CapteP184024	99.0	S	0.0
Hduj_OQV16774.1	Cneo_AAW46916	99.0	S	0.0
Hduj_OQV16774.1	Lcom_lcpid178424	99.0	S	0.0
Hduj_OQV16774.1	Rhidel_EIE86808	99.0	S	0.0
Hduj_OQV16774.1	Exapal_XP_020914885.1	99.0	S	0.0
Hduj_OQV16774.1	Tadh_wf_g2149_t1	99.0	S	0.0
Hduj_OQV16774.1	Ngru_EFC37840	99.0	S	0.0
Hduj_OQV16774.1	Retfil_ETO36361	99.0	S	0.0
Hduj_OQV16774.1	Linana_g710.t1	99.0	S	0.0
Hduj_OQV16774.1	Morvir_scaffold162.g14.t1	99.0	S	0.0
Hduj_OQV16774.1	Tielac_KYR01928	99.0	S	0.0
Hduj_OQV16774.1	Bnat_JGI_V11_52476	99.0	S	0.0
Hduj_OQV16774.1	Emul_CDI97192.1	99.0	S	0.0
Hduj_OQV16774.1	Cfra_CFRG1280T1	99.0	S	0.0
Hduj_OQV16774.1	Bden_EGF78726	99.0	S	0.0
Hduj_OQV16774.1	Spis_XP_022801833_1	99.0	S	0.0
Hduj_OQV16774.1	Spimul_22855_TR11273_c0_g1	99.0	S	0.0
Hduj_OQV16774.1	Concor_KXN68540	99.0	S	0.0
Hduj_OQV16774.1	Sman_Smp_198790.1_pep	99.0	S	0.0
Hduj_OQV16774.1	Tcas_XP_008199350.1	99.0	S	0.0
Hduj_OQV16774.1	Aano_EGB03606	99.0	S	0.0
Hduj_OQV16774.1	Smoe_EFJ17220	99.0	S	0.0
Hduj_OQV16774.1	Spun_KNC95865	99.0	S	0.0
Hduj_OQV16774.1	Tcru_EAN87112	99.0	S	0.0
Hduj_OQV16774.1	Cscu_XP_023215972.1	99.0	S	0.0
Hduj_OQV16774.1	Sphfal_Sphfalx14G105200.1.p	99.0	S	0.0
Hduj_OQV16774.1	Drer_ENSDARP00000146107.1	99.0	S	0.0
Hduj_OQV16774.1	Meteor_CRO19MET_NODE_11212.p2	99.0	S	0.0
Hduj_OQV16774.1	Cscu_XP_023211230.1	99.0	S	0.0
Hduj_OQV16774.1	Mlei_ML1054_g16_t1	99.0	S	0.0
Hduj_OQV16774.1	Ihof_evm19s40	99.0	S	0.0
Hduj_OQV16774.1	Notgen_g20706.t1	99.0	S	0.0
Hduj_OQV16774.1	Cavfas_EGG21379	99.0	S	0.0
Hduj_OQV16774.1	Ccin_EAU83629	99.0	S	0.0
Hduj_OQV16774.1	Hemkuk_17224_TR5731_c1_g1	99.0	S	0.0
Hduj_OQV16774.1	Vitbra_CEM09150.1	99.0	S	0.0
Hduj_OQV16774.1	Hetalb_XP_020432381.1	99.0	S	0.0
Hduj_OQV16774.1	Gefoke_MALSP_08998.mRNA.1	99.0	S	0.0
Hduj_OQV16774.1	Drer_ENSDARP00000145775.1	99.0	S	0.0
Hduj_OQV16774.1	Ncra_EAA34930	99.0	S	0.0
Hduj_OQV16774.1	Phakir_PHAKIR_04125.mRNA.1	99.0	S	0.0
Hduj_OQV16774.1	Spom_SPBC3D6.09.1_pep	99.0	S	0.0
Hduj_OQV16774.1	Umbram_244787	99.0	S	0.0
Hduj_OQV16774.1	Esil_CBN76059	99.0	S	0.0
Hduj_OQV16774.1	Cang_ORZ37377	99.0	S	0.0
Hduj_OQV16774.1	Jakbah_JAKBA_00330.mRNA.1	99.0	S	0.0
Hduj_OQV16774.1	Drer_ENSDARP00000002886.5	99.0	S	0.0
Hduj_OQV16774.1	Ocar_g4470.t1	99.0	S	0.0
Hduj_OQV16774.1	Umay_KIS68721	99.0	S	0.0
Hduj_OQV16774.1	Gonavo_comp35953_c0_seq1_6_ORF3_122	99.0	S	0.0
Hduj_OQV16774.1	Phoaus_g18039.t1	99.0	S	0.0
Hduj_OQV16774.1	Pisp_OUM58978.1	99.0	S	0.0
Hduj_OQV16774.1	Phatri_Phatr3_J43730.p1	99.0	S	0.0
Hduj_OQV16774.1	Lcom_lcpid158298	99.0	S	0.0
Hduj_OQV16774.1	Cocsub_XP_005648182.1	99.0	S	0.0
Hduj_OQV16774.1	Sarc_Sarc4_g10288T	99.0	S	0.0
Hduj_OQV16774.1	Styinc_Gene17934_m17934	99.0	S	0.0
Hduj_OQV16774.1	Alblai_CCA16754	99.0	S	0.0
Hduj_OQV16774.1	Gthe_EKX47036	99.0	S	0.0
Hduj_OQV16774.1	Cowc_KJE90880	99.0	S	0.0
Hduj_OQV16774.1	Atri_ERN16538	99.0	S	0.0
Hduj_OQV16774.1	Nvec_NVE4158	99.0	S	0.0
Hduj_OQV16774.1	Crei_PNW81084	99.0	S	0.0
Hduj_OQV16774.1	Aplker_56172	99.0	S	0.0
Hduj_OQV16774.1	Scil_scpid73688	99.0	S	0.0
Hduj_OQV16774.1	Mpus_XP_003054988.1	99.0	S	0.0
Hduj_OQV16774.1	Lpol_XP_013781220.1	99.0	S	0.0
Hduj_OQV16774.1	Chrtob_KOO22593.1	99.0	S	0.0
Hduj_OQV16774.1	Morelo_OAQ26000	99.0	S	0.0
Hduj_OQV16774.1	Pygbif_GCRY01003196.1.p1	99.0	S	0.0
Hduj_OQV16774.1	Tpse_ACI65003	99.0	S	0.0
Hduj_OQV16774.1	Diprot_Gene.11403	99.0	S	0.0
Hduj_OQV16774.1	Lgig_LotgiP238643	99.0	S	0.0
Hduj_OQV16774.1	Andgod_ANDGO_02881.mRNA.1	99.0	S	0.0
Hduj_OQV16774.1	Coerev_PIA14123.1	99.0	S	0.0
Hduj_OQV16774.1	Sbic_EER98514	99.0	S	0.0
Hduj_OQV16774.1	Ulvmut_UM011_01141	99.0	S	0.0
Hduj_OQV16774.1	Oxytri_EJY69894	99.0	S	0.0
Hduj_OQV16774.1	Mgut_XP_012850173.1	99.0	S	0.0
Hduj_OQV16774.1	Lcom_lcpid133101	99.0	S	0.0
Hduj_OQV16774.1	Manpla_Gene.53677	99.0	S	0.0
Hduj_OQV16774.1	Ppat_Pp3c26_8280V3.1	99.0	S	0.0
Hduj_OQV16774.1	Pinf_PITG_07175T0	99.0	S	0.0
Hduj_OQV16774.1	Ancsig_Gene.26153	99.0	S	0.0
Hduj_OQV16774.1	Bdis_KQJ91588	99.0	S	0.0
Hduj_OQV16774.1	Vcar_XP_002951737.1	99.0	S	0.0
Hduj_OQV16774.1	Tetwil_Twilhelma_g5787.t1	99.0	S	0.0
Hduj_OQV16774.1	Gpro_KXS18425	99.0	S	0.0
Hduj_OQV16774.1	Cgig_EKC18754	99.0	S	0.0
Hduj_OQV16774.1	Dmel_FBpp0099657	99.0	S	0.0
Hduj_OQV16774.1	Otau_XP_022839473.1	99.0	S	0.0
Hduj_OQV16774.1	Eimten_CDJ37671	99.0	S	0.0
Hduj_OQV16774.1	Acoe_PIA28244.1	99.0	S	0.0
Hduj_OQV16774.1	Tcru_EAN95790	99.0	S	0.0
Hduj_OQV16774.1	Adig_XP_015753227.1	99.0	S	0.0
Hduj_OQV16774.1	Skow_XP_002735947.1	99.0	S	0.0
Hduj_OQV16774.1	Plabra_CEO94249	99.0	S	0.0
Hduj_OQV16774.1	Ehux_EOD23620	99.0	S	0.0
Hduj_OQV16774.1	Tcas_XP_967974.1	99.0	S	0.0
Hduj_OQV16774.1	Helrob_HelroP75183	99.0	S	0.0
Hduj_OQV16774.1	Amac_KNE71367	99.0	S	0.0
Hduj_OQV16774.1	Ddis_EAL71263	99.0	S	0.0
Hduj_OQV16774.1	Hsap_ENSP00000363284.3	99.0	S	0.0
Hduj_OQV16774.1	Coka_g8673.t1	99.0	S	0.0
Hduj_OQV16774.1	Acas_ELR14904	99.0	S	0.0
Hduj_OQV16774.1	Bralan_BL02501_evm0	99.0	S	0.0
Hduj_OQV16774.1	Honfer_GBG32938	99.0	S	0.0
Hduj_OQV16774.1	Atha_AT2G27470.1	99.0	S	0.0
Ramvar_GAV00550.1	Rigram_Gene.24389	99.0	S	0.0
Ramvar_GAV00550.1	Ehux_EOD25995	99.0	S	0.0
Ramvar_GAV00550.1	Sappar_KDO34131	99.0	S	0.0
Ramvar_GAV00550.1	Pavlsp_1037333	99.0	S	0.0
Ramvar_GAV00550.1	Klenit_GAQ86387.1	99.0	S	0.0
Ramvar_GAV00550.1	Azfi_s0066.g036069	99.0	S	0.0
Ramvar_GAV00550.1	Sacu_v1.1_s0002.g001262	99.0	S	0.0
Ramvar_GAV00550.1	Marpol_PTQ31887	99.0	S	0.0
Ramvar_GAV00550.1	Clyhem_TCONS_00021143-protein	99.0	S	0.0
Ramvar_GAV00550.1	Cvel_23660.t1-p1	99.0	S	0.0
Ramvar_GAV00550.1	Rirr_GBC30421	99.0	S	0.0
Ramvar_GAV00550.1	Caulen_g5023.t1	99.0	S	0.0
Ramvar_GAV00550.1	Cint_ENSCINP00000032769.1	99.0	S	0.0
Ramvar_GAV00550.1	Tpse_EED95062	99.0	S	0.0
Ramvar_GAV00550.1	Apla_XP_022085190.1	99.0	S	0.0
Ramvar_GAV00550.1	Aurlim_74473	99.0	S	0.0
Ramvar_GAV00550.1	Cvar_XP_005847430.1	99.0	S	0.0
Ramvar_GAV00550.1	Emue_0016g81a	99.0	S	0.0
Ramvar_GAV00550.1	Spur_XP_785187.1	99.0	S	0.0
Ramvar_GAV00550.1	Ttra_KNC52651	99.0	S	0.0
Ramvar_GAV00550.1	Schagg_26154	99.0	S	0.0
Ramvar_GAV00550.1	Plamic_ANCSI_05878.mRNA.1	99.0	S	0.0
Ramvar_GAV00550.1	Nk52_evm35s2612	99.0	S	0.0
Ramvar_GAV00550.1	Ngad_EWM23659	99.0	S	0.0
Ramvar_GAV00550.1	Tmel_CAZ80274	99.0	S	0.0
Ramvar_GAV00550.1	Aque_Aqu2.1.37258_001	99.0	S	0.0
Ramvar_GAV00550.1	Lpol_XP_013781842.1	99.0	S	0.0
Ramvar_GAV00550.1	Recame_RECAM_02327.mRNA.1	99.0	S	0.0
