gene	orthogroup	orthologous_to	family	architecture
Maljak_MALJA_06931.mRNA.1	BAH.HG1.8:like:BAHCC1/BAHD1/ORC1/TNRC18:likeclu:9/11		BAH	VEFS-Box
Gefoke_MALSP_05925.mRNA.1	BAH.HG1.8:like:BAHCC1/BAHD1/ORC1/TNRC18:likeclu:9/11		BAH	BAH VEFS-Box
Gefoke_MALSP_05925.mRNA.3	BAH.HG1.8:like:BAHCC1/BAHD1/ORC1/TNRC18:likeclu:9/11		BAH	BAH VEFS-Box
Maljak_MALJA_09617.mRNA.1	BAH.HG1.8:like:BAHCC1/BAHD1/ORC1/TNRC18:likeclu:9/11		BAH	VEFS-Box
Gefoke_MALSP_05925.mRNA.2	BAH.HG1.8:like:BAHCC1/BAHD1/ORC1/TNRC18:likeclu:9/11		BAH	BAH VEFS-Box
Ehux_EOD18762	PHD.HG4.4:like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66:likeclu:5/8		PHD	VEFS-Box PHD
Ehux_EOD38018	PHD.HG4.4:like:BAZ1A/BAZ1B/BAZ2A/BAZ2B/SP140L/TRIM24/TRIM28/TRIM33/TRIM66:likeclu:5/8		PHD	VEFS-Box PHD
Atha_AT2G35670.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Apla_XP_022080334.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Ttra_KNC56491	Suz12.HG1.0:SUZ12	islike:SUZ12	Suz12	VEFS-Box
Linana_g2183.t1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Gthe_EKX34457	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Lcom_lcpid34156	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Carmem_b1560.p1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Hduj_OQV23627.1	Suz12.HG1.0:SUZ12	islike:SUZ12	Suz12	VEFS-Box
Spis_XP_022785017_1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Porumb_OSX73797.1	Suz12.HG1.0:SUZ12	islike:SUZ12	Suz12	VEFS-Box
Styinc_Gene29613_m29613	Suz12.HG1.0:SUZ12	islike:SUZ12	Suz12	VEFS-Box
Ocar_g6759.t1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Emue_0020g920a	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Clyhem_TCONS_00004425-protein	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Rall_EPZ36105	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Ehux_EOD18762	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box PHD
Chocri_XP_005711228.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Gracho_PXF46979.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Ncra_EAA34215	Suz12.HG1.0:SUZ12	islike:SUZ12	Suz12	VEFS-Box
Cscu_XP_023241415.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Spimul_9526_TR5046_c0_g1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Ctel_CapteP227135	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Fabtro_Gene.35171	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Lgig_LotgiP71464	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Carmem_1635.p1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Dmel_FBpp0074686	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Emul_CDS39627.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Maljak_MALJA_09617.mRNA.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Drer_ENSDARP00000154380.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Auraur_scaffold5.g47.t1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Morvir_scaffold9.g65.t3	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Rirr_GBC53765	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
Cvar_XP_005848525.1	Suz12.HG1.0:SUZ12	islike:SUZ12	Suz12	VEFS-Box
Lpol_XP_013788404.1	Suz12.HG1.0:SUZ12	SUZ12	Suz12	VEFS-Box
