gene	orthogroup	orthologous_to
Discoba|Styinc_Gene20118_m20118	aOG.eur_TRRAP0	
Meteora|Meteor_CRO19MET_NODE_35.p1	aOG.eur_TRRAP0	
ArchaeCry|Ppat_Pp3c17_20000V3.3	aOG.eur_TRRAP0	
Ancyromonadida|Plamic_ANCSI_08953.mRNA.1	aOG.eur_TRRAP0	
ArchaeCry|Azfi_s0051.g031225	aOG.eur_TRRAP0	
CRuMs|Diprot_Gene.13723	aOG.eur_TRRAP0	
SARHap|Bnat_JGI_V11_33130	aOG.eur_TRRAP0	
Malawimonadidae|Gefoke_MALSP_12588.mRNA.1	aOG.eur_TRRAP0	
Amoebozoa|Plafun_PRP80008	aOG.eur_TRRAP0	
Obazoa|Pbla_XP_018295402.1	aOG.eur_TRRAP0	
Obazoa|Umbram_255622	aOG.eur_TRRAP0	
ArchaeCry|Sphfal_Sphfalx03G086400.1.p	aOG.eur_TRRAP0	
Malawimonadidae|Maljak_MALJA_02958.mRNA.1	aOG.eur_TRRAP1	
SARHap|Retfil_ETO08866	aOG.eur_TRRAP1	
Amoebozoa|Ddis_EAL66880	aOG.eur_TRRAP1	
Amoebozoa|Hetalb_XP_020431777.1	aOG.eur_TRRAP1	
Ancyromonadida|Plamic_ANCSI_08825.mRNA.1	aOG.eur_TRRAP1	
Obazoa|Tadh_P20924	aOG.eur_TRRAP1	
ArchaeCry|Marpol_PTQ35722	aOG.eur_TRRAP1	
Discoba|Amobb2_AMBB2_02383.mRNA.2	aOG.eur_TRRAP1	
CRuMs|Rigram_Gene.25906	aOG.eur_TRRAP1	
Discoba|Phakir_PHAKIR_14532.mRNA.1	aOG.eur_TRRAP1	
Meteora|Meteor_CRO19MET_NODE_199.p1	aOG.eur_TRRAP1	
ArchaeCry|Ppat_Pp3c9_15240V3.1	aOG.eur_TRRAP1	
ArchaeCry|Sphfal_Sphfalx06G105000.1.p	aOG.eur_TRRAP1	
Discoba|Amobb2_AMBB2_02383.mRNA.1	aOG.eur_TRRAP1	
Metamonada|Carmem_3931.p1	aOG.eur_TRRAP2	
ArchaeCry|Atri_ERM95810	aOG.eur_TRRAP2	
ArchaeCry|Klenit_GAQ87481.1	aOG.eur_TRRAP2	
Obazoa|Gpro_KXS11006	aOG.eur_TRRAP2	
Meteora|Meteor_CRO19MET_NODE_179.p1	aOG.eur_TRRAP2	
Amoebozoa|Tielac_KYQ91695	aOG.eur_TRRAP2	
Ancyromonadida|Plamic_ANCSI_06449.mRNA.1	aOG.eur_TRRAP2	
Malawimonadidae|Gefoke_MALSP_18835.mRNA.1	aOG.eur_TRRAP2	
Discoba|Amobb2_AMBB2_02981.mRNA.1	aOG.eur_TRRAP2	
SARHap|Plabra_CEO95116	aOG.eur_TRRAP2	
Obazoa|Spun_KNC98625	aOG.eur_TRRAP2	
Amoebozoa|Ddis_EAL66546	aOG.eur_TRRAP2	
CRuMs|Rigram_Gene.4425	aOG.eur_TRRAP2	
Hemimastigophora|Spimul_9656_TR5124_c0_g1	aOG.eur_TRRAP2	
SARHap|Pinf_PITG_00828T0	aOG.eur_TRRAP3	
Amoebozoa|Acas_ELR17399	aOG.eur_TRRAP3	
Ancyromonadida|Plamic_ANCSI_07885.mRNA.1	aOG.eur_TRRAP3	
Malawimonadidae|Gefoke_MALSP_05906.mRNA.1	aOG.eur_TRRAP3	
ArchaeCry|Marpol_PTQ34325	aOG.eur_TRRAP3	
Obazoa|Apla_XP_022082001.1	aOG.eur_TRRAP3	
Obazoa|Skow_XP_006815117.1	aOG.eur_TRRAP3	
Discoba|Ngru_EFC49586	aOG.eur_TRRAP3	
Metamonada|Tvag_XP_001329568.1	aOG.eur_TRRAP4	
Amoebozoa|Tielac_KYR02242	aOG.eur_TRRAP4	
Obazoa|Spur_XP_030832385.1	aOG.eur_TRRAP4	
SARHap|Pinf_PITG_02495T0	aOG.eur_TRRAP4	
ArchaeCry|Sacu_v1.1_s0057.g014766	aOG.eur_TRRAP4	
Obazoa|Spun_KND02053	aOG.eur_TRRAP4	
Ancyromonadida|Plamic_ANCSI_07757.mRNA.1	aOG.eur_TRRAP4	
Malawimonadidae|Gefoke_MALSP_17045.mRNA.1	aOG.eur_TRRAP4	
Amoebozoa|Hetalb_XP_020427289.1	aOG.eur_TRRAP4	
Meteora|Meteor_CRO19MET_NODE_303.p1	aOG.eur_TRRAP4	
ArchaeCry|Marpol_PTQ43202	aOG.eur_TRRAP4	
CRuMs|Diprot_Gene.12892	aOG.eur_TRRAP4	
Obazoa|Clyhem_TCONS_00026183-protein	aOG.eur_TRRAP4	
SARHap|Plabra_CEP02592	aOG.eur_TRRAP4	
Discoba|Amobb2_AMBB2_04558.mRNA.1	aOG.eur_TRRAP4	
SARHap|Chrtob_KOO24177.1	aOG.eur_TRRAP5	
