Gracho_gnl_WGS_NBIV_mrna.BWQ96_00001	Gracho_1_1
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00002	Gracho_1_2
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00003	Gracho_1_3
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00004	Gracho_1_4
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00005	Gracho_1_5
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00006	Gracho_1_6
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00007	Gracho_1_7
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00008	Gracho_1_8
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00009	Gracho_1_9
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00010	Gracho_1_10
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00011	Gracho_1_11
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00012	Gracho_1_12
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00013	Gracho_1_13
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00014	Gracho_1_14
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00015	Gracho_1_15
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00016	Gracho_1_16
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00017	Gracho_1_17
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00018	Gracho_1_18
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00019	Gracho_1_19
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00020	Gracho_1_20
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00021	Gracho_1_21
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00022	Gracho_1_22
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00023	Gracho_1_23
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00024	Gracho_1_24
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00025	Gracho_1_25
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00026	Gracho_1_26
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00027	Gracho_1_27
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00028	Gracho_1_28
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00029	Gracho_1_29
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00030	Gracho_1_30
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00031	Gracho_1_31
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00032	Gracho_1_32
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00033	Gracho_1_33
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00034	Gracho_1_34
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00035	Gracho_1_35
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00036	Gracho_1_36
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00037	Gracho_1_37
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00038	Gracho_1_38
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00039	Gracho_1_39
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00040	Gracho_1_40
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00041	Gracho_1_41
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00042	Gracho_1_42
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00043	Gracho_1_43
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00044	Gracho_1_44
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00045	Gracho_1_45
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00046	Gracho_1_46
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00047	Gracho_1_47
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00048	Gracho_1_48
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00049	Gracho_1_49
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00050	Gracho_1_50
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00051	Gracho_1_51
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00052	Gracho_1_52
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00053	Gracho_1_53
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00054	Gracho_1_54
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00055	Gracho_1_55
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00056	Gracho_1_56
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00057	Gracho_1_57
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00058	Gracho_1_58
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00059	Gracho_1_59
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00060	Gracho_1_60
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00061	Gracho_1_61
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00062	Gracho_1_62
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00063	Gracho_1_63
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00064	Gracho_1_64
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00065	Gracho_1_65
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00066	Gracho_1_66
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00067	Gracho_1_67
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00068	Gracho_1_68
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00069	Gracho_1_69
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00070	Gracho_1_70
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00071	Gracho_1_71
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00072	Gracho_1_72
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00073	Gracho_1_73
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00074	Gracho_1_74
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00075	Gracho_1_75
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00076	Gracho_1_76
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00077	Gracho_1_77
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00078	Gracho_1_78
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00079	Gracho_1_79
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00080	Gracho_1_80
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00081	Gracho_1_81
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00082	Gracho_1_82
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00083	Gracho_1_83
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00084	Gracho_1_84
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00085	Gracho_1_85
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00086	Gracho_1_86
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00087	Gracho_1_87
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00088	Gracho_1_88
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00089	Gracho_1_89
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00090	Gracho_1_90
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00091	Gracho_1_91
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00092	Gracho_1_92
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00093	Gracho_1_93
Gracho_gnl_WGS_NBIV_mrna.BWQ96_00094	Gracho_1_94
