Ttra_KNC45887	Ttra_1_1
Ttra_KNC45888	Ttra_1_2
Ttra_KNC45889	Ttra_1_3
Ttra_KNC45890	Ttra_1_4
Ttra_KNC45891	Ttra_1_5
Ttra_KNC45892	Ttra_1_6
Ttra_KNC45893	Ttra_1_7
Ttra_KNC45894	Ttra_1_8
Ttra_KNC45895	Ttra_1_9
Ttra_KNC45896	Ttra_1_10
Ttra_KNC45897	Ttra_1_11
Ttra_KNC45898	Ttra_1_12
Ttra_KNC45899	Ttra_1_13
Ttra_KNC45900	Ttra_1_14
Ttra_KNC45901	Ttra_1_15
Ttra_KNC45902	Ttra_1_16
Ttra_KNC45903	Ttra_1_17
Ttra_KNC45904	Ttra_1_18
Ttra_KNC45905	Ttra_1_19
Ttra_KNC45906	Ttra_1_20
Ttra_KNC45907	Ttra_1_21
Ttra_KNC45908	Ttra_1_22
Ttra_KNC45909	Ttra_1_23
Ttra_KNC45910	Ttra_1_24
Ttra_KNC45911	Ttra_1_25
Ttra_KNC45912	Ttra_1_26
Ttra_KNC45913	Ttra_1_27
Ttra_KNC45914	Ttra_1_28
Ttra_KNC45915	Ttra_1_29
Ttra_KNC45916	Ttra_1_30
Ttra_KNC45917	Ttra_1_31
Ttra_KNC45918	Ttra_1_32
Ttra_KNC45919	Ttra_1_33
Ttra_KNC45920	Ttra_1_34
Ttra_KNC45921	Ttra_1_35
Ttra_KNC45922	Ttra_1_36
Ttra_KNC45923	Ttra_1_37
Ttra_KNC45924	Ttra_1_38
Ttra_KNC45925	Ttra_1_39
Ttra_KNC45926	Ttra_1_40
Ttra_KNC45927	Ttra_1_41
Ttra_KNC45928	Ttra_1_42
Ttra_KNC45929	Ttra_1_43
Ttra_KNC45930	Ttra_1_44
Ttra_KNC45931	Ttra_1_45
Ttra_KNC45932	Ttra_1_46
Ttra_KNC45933	Ttra_1_47
Ttra_KNC45934	Ttra_1_48
Ttra_KNC45935	Ttra_1_49
Ttra_KNC45936	Ttra_1_50
Ttra_KNC45937	Ttra_1_51
Ttra_KNC45938	Ttra_1_52
Ttra_KNC45939	Ttra_1_53
Ttra_KNC45940	Ttra_1_54
Ttra_KNC45941	Ttra_1_55
Ttra_KNC45942	Ttra_1_56
Ttra_KNC45943	Ttra_1_57
Ttra_KNC45944	Ttra_1_58
Ttra_KNC45945	Ttra_1_59
Ttra_KNC45946	Ttra_1_60
Ttra_KNC45947	Ttra_1_61
Ttra_KNC45948	Ttra_1_62
Ttra_KNC45949	Ttra_1_63
Ttra_KNC45950	Ttra_1_64
Ttra_KNC45951	Ttra_1_65
Ttra_KNC45952	Ttra_1_66
Ttra_KNC45953	Ttra_1_67
Ttra_KNC45954	Ttra_1_68
Ttra_KNC45955	Ttra_1_69
Ttra_KNC45956	Ttra_1_70
Ttra_KNC45957	Ttra_1_71
Ttra_KNC45958	Ttra_1_72
Ttra_KNC45959	Ttra_1_73
Ttra_KNC45960	Ttra_1_74
Ttra_KNC45961	Ttra_1_75
Ttra_KNC45962	Ttra_1_76
Ttra_KNC45963	Ttra_1_77
Ttra_KNC45964	Ttra_1_78
Ttra_KNC45965	Ttra_1_79
Ttra_KNC45966	Ttra_1_80
Ttra_KNC45967	Ttra_1_81
Ttra_KNC45968	Ttra_1_82
Ttra_KNC45969	Ttra_1_83
Ttra_KNC45970	Ttra_1_84
Ttra_KNC45971	Ttra_1_85
Ttra_KNC45972	Ttra_1_86
Ttra_KNC45973	Ttra_1_87
Ttra_KNC45974	Ttra_1_88
Ttra_KNC45975	Ttra_1_89
Ttra_KNC45976	Ttra_1_90
Ttra_KNC45977	Ttra_1_91
Ttra_KNC45978	Ttra_1_92
Ttra_KNC45979	Ttra_1_93
Ttra_KNC45980	Ttra_1_94
Ttra_KNC45981	Ttra_1_95
Ttra_KNC45982	Ttra_1_96
Ttra_KNC45983	Ttra_1_97
Ttra_KNC45984	Ttra_1_98
Ttra_KNC45985	Ttra_1_99
Ttra_KNC45986	Ttra_1_100
Ttra_KNC45987	Ttra_1_101
