gene	orthogroup	orthologous_to
Cvel_3816.t1-p1	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Perkma_EER09754	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Perkma_EER05681	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Perkma_EER10272	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Bremin_symbB.v1.2.013256.t1	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Perkma_EER19398	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Perkma_EER17077	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Vitbra_CEM24032.1	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Vitbra_CEM24099.1	SNF2_N.HG8.0:like:CHD6/CHD7/CHD8/CHD9:likeclu:1	NA
Andgod_ANDGO_08192.mRNA.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Aque_Aqu2.1.07254_001	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Sappar_KDO33099	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Honfer_GBG24435	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Honfer_GBG29976	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Alblai_CCA16095	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Notgen_g556.t1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Nvec_NVE3883	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Chrtob_KOO24287.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Bnat_JGI_V11_28699	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Pygbif_GCRY01011359.1.p1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Tvag_XP_001579285.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Acas_ELR13427	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Aurlim_138186	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Apla_XP_022082169.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Skow_XP_006818996.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Drer_ENSDARP00000146511.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD8
Tvag_XP_001308354.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Aque_Aqu2.1.18657_001	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Ramvar_GAV07723.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Gefoke_MALSP_01969.mRNA.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Lgig_LotgiP144072	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Mvib_comp11622_c0_seq1_fr6	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Recame_RECAM_12421.mRNA.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Rall_EPZ35131	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Auraur_scaffold386.g9.t1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Aque_Aqu2.1.29700_001	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Tvag_XP_001320435.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Ptet_CAK61094	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Otau_XP_003074615.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Maljak_MALJA_06747.mRNA.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Coka_g7551.t2	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Exapal_XP_020904683.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Phoaus_g13197.t1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Aplker_61146	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Aurlim_102789	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Esil_CBN74034	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Honfer_GBG32881	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Cavfas_EGG16042	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Tcas_XP_008193666.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Drer_ENSDARP00000142882.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD9
Tvag_XP_001583513.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Morelo_OAQ34532	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	CHD6/CHD7/CHD8/CHD9
Bnat_JGI_V11_28956	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
Jaklib_JAKLI_03648.mRNA.1	SNF2_N.HG8.1:CHD6/CHD7/CHD8/CHD9	islike:CHD6/CHD7/CHD8/CHD9
