Transcript	Length	EffectiveLength	TPM	NumReads	Sample	Gene
Exapal_XM_021041141.2	669	492.904	9.394273	46.462	SRR1648359	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	419.000	6.358188	44.371	SRR1648360	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	494.545	11.435683	47.464	SRR1648361	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	498.158	10.550954	40.603	SRR1648362	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	476.821	9.215563	31.814	SRR1648363	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	493.385	7.513383	34.947	SRR1648365	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	485.074	10.297872	43.312	SRR1648367	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	493.093	11.481813	56.183	SRR1648368	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	502.252	8.542279	25.633	SRR1648369	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	498.244	9.623197	30.898	SRR1648370	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	496.959	6.258592	17.062	SRR1648371	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	499.434	11.373728	37.546	SRR1648372	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	464.586	1.233411	4.523	SRR1648373	Exapal_XP_020896800.1
Exapal_XM_021041141.2	669	482.428	1.337688	4.506	SRR1648374	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	197.598	11.968629	23.730	SRR1648359	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	122.000	1.487451	3.022	SRR1648360	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	199.442	7.420036	12.420	SRR1648361	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	203.397	4.977995	7.822	SRR1648362	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	185.625	7.624531	10.247	SRR1648363	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	198.640	0.533776	1.000	SRR1648365	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	191.793	8.884865	14.775	SRR1648367	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	198.485	5.675255	11.178	SRR1648368	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	208.350	7.641549	9.512	SRR1648369	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	203.493	8.772595	11.504	SRR1648370	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	202.776	5.643293	6.277	SRR1648371	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	204.951	7.956051	10.778	SRR1648372	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	176.646	0.890750	1.242	SRR1648373	Exapal_XP_020896800.1
Exapal_XM_021041266.2	372	192.648	9.030210	12.147	SRR1648374	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	197.598	12.102589	23.996	SRR1648359	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	122.000	10.414739	21.162	SRR1648360	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	199.442	19.125155	32.012	SRR1648361	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	203.397	15.841988	24.892	SRR1648362	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	185.625	18.165534	24.413	SRR1648363	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	198.640	8.552367	16.016	SRR1648365	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	191.793	15.640695	26.010	SRR1648367	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	198.485	18.055882	35.564	SRR1648368	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	208.350	16.017157	19.938	SRR1648369	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	203.493	15.254560	20.004	SRR1648370	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	202.776	17.257712	19.197	SRR1648371	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	204.951	15.998026	21.672	SRR1648372	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	176.646	3.588602	5.004	SRR1648373	Exapal_XP_020896800.1
Exapal_XM_021052278.1	372	192.648	5.203972	7.000	SRR1648374	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	140.296	2.841439	4.000	SRR1648359	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	62.441	3.369592	3.504	SRR1648360	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	141.931	5.876633	7.000	SRR1648361	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	145.969	6.208414	7.001	SRR1648362	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	131.705	7.341029	7.000	SRR1648363	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	141.197	3.917929	5.215	SRR1648365	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	136.115	4.236475	5.000	SRR1648367	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	141.543	4.983611	7.000	SRR1648368	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	150.959	8.870171	8.000	SRR1648369	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	145.508	7.465297	7.000	SRR1648370	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	145.270	3.764607	3.000	SRR1648371	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	147.142	3.084636	3.000	SRR1648372	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	124.774	4.061545	4.000	SRR1648373	Exapal_XP_020896800.1
Exapal_XM_021040521.2	312	138.708	10.323552	9.998	SRR1648374	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	140.296	7.957692	11.202	SRR1648359	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	62.441	9.107544	9.472	SRR1648360	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	141.931	7.775834	9.262	SRR1648361	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	145.969	8.868194	10.000	SRR1648362	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	131.705	4.194874	4.000	SRR1648363	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	141.197	9.761671	12.994	SRR1648365	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	136.115	5.931065	7.000	SRR1648367	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	141.543	4.983611	7.000	SRR1648368	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	150.959	9.978942	9.000	SRR1648369	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	145.508	6.398826	6.000	SRR1648370	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	145.270	3.764607	3.000	SRR1648371	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	147.142	5.141059	5.000	SRR1648372	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	124.774	2.030773	2.000	SRR1648373	Exapal_XP_020896800.1
Exapal_XM_021061890.2	312	138.708	3.097572	3.000	SRR1648374	Exapal_XP_020896800.1
Exapal_XM_021037919.2	312	140.296	12.853387	18.094	SRR1648359	Exapal_XP_020896800.1
Exapal_XM_021037919.2	312	62.441	5.092191	5.296	SRR1648360	Exapal_XP_020896800.1
