gene	orthogroup	orthologous_to	family	architecture
Aque_Aqu2.1.36073_001	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Lpol_XP_013789802.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Linana_g2088.t1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	YAF2_RYBP
Morvir_scaffold19.g97.t1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Hsap_ENSP00000328004.5	YAF2_RYBP.HG1.0:RYBP/YAF2	YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Apla_XP_022095910.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Spur_XP_780545.2	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Hsap_ENSP00000486012.2	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP	YAF2_RYBP	zf-RanBP YAF2_RYBP
Auraur_scaffold23.g21.t3	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Scil_scpid64439	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	YAF2_RYBP
Dmel_FBpp0071779	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Exapal_XP_020901697.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Lpol_XP_022235626.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Lcom_lcpid70862	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Cgig_EKC32947	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	YAF2_RYBP
Tadh_P7760	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Bralan_BL14608_cuf1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Cint_ENSCINP00000036300.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Drer_ENSDARP00000112899.1	YAF2_RYBP.HG1.0:RYBP/YAF2	YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Adig_XP_015760989.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Hsap_ENSP00000419494.2	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP	YAF2_RYBP	zf-RanBP YAF2_RYBP
Lpol_XP_013787606.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Spis_XP_022791495_1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Dpul_EFX70578	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Skow_XP_006818894.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Notgen_g40138.t1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Emul_CDI97363.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Auraur_scaffold23.g21.t1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Lgig_LotgiP125374	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Drer_ENSDARP00000055037.3	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP	YAF2_RYBP	zf-RanBP YAF2_RYBP
Lpol_XP_013771802.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Drer_ENSDARP00000069979.4	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP	YAF2_RYBP	zf-RanBP YAF2_RYBP
Clyhem_TCONS_00065208-protein	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Phoaus_g4712.t1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Tcas_XP_974738.1	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Emue_0001g1127a	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
Tetwil_Twilhelma_g26827.t3	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	YAF2_RYBP
Emue_0001g1137a	YAF2_RYBP.HG1.0:RYBP/YAF2	RYBP/YAF2	YAF2_RYBP	zf-RanBP YAF2_RYBP
