og_class	orthogroup	Pattern	og_id	og_tmp	og_name	og_name_short	og_id_short	gene_class	gene_type	domains	search	inflation	min_size	sum_gain	sum_loss	sum_pres_total	sum_pres_extant	n_presence_bin	ancestral_support_string	ancestral_support_count	ancestral_support_summary
ADD_ATRX	ADD_ATRX.HG1.0:ATRX	1510004113121001113111111111111101010010000000000000000000000000000000000000000000000000000000000010212100000000010000000000000000000000000000000000000000000000000000000000	ADD_ATRX.HG1.0	ADD_ATRX.HG1.0:ATRX	ATRX	ATRX	ADD_ATRX.HG1.0 | ATRX	Readers	Readers	ADD_ATRX	GA	1.1	2	NA	NA	81.2580369604915	36	36	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
ADD_DNMT3	ADD_DNMT3.HG1.0:DNMT3A/DNMT3B/DNMT3L	3900113200232001111021001011111101120011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	ADD_DNMT3.HG1.0	ADD_DNMT3.HG1.0:DNMT3A/DNMT3B/DNMT3L	DNMT3A/DNMT3B/DNMT3L	DNMT3A/DNMT3B/DNMT3L	ADD_DNMT3.HG1.0 | DNMT3A/DNMT3B/DNMT3L	Readers	Readers	ADD_DNMT3	GA	1.1	2	NA	NA	63.6792062964322	27	27	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
AF9	AF9.HG1.0:MLLT1/MLLT3	2311111111123110104111001111110111111100000000001000000000000000000000000000000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	AF9.HG1.0	AF9.HG1.0:MLLT1/MLLT3	MLLT1/MLLT3	MLLT1/MLLT3	AF9.HG1.0 | MLLT1/MLLT3	Complexes	KMT4	AHD	GA	1.1	2	NA	NA	73.7052712358428	36	36	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
BAH	BAH.HG1.9:BAHCC1/BAHD1/TNRC18	3610204225283110122423112241111211122020000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000	BAH.HG1.9	BAH.HG1.9:BAHCC1/BAHD1/TNRC18	BAHCC1/BAHD1/TNRC18	BAHCC1/BAHD1/TNRC18	BAH.HG1.9 | BAHCC1/BAHD1/TNRC18	Readers	Readers	BAH	GA	1.1	2	NA	NA	77.5661757919276	37	37	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
BIR	BIR.HG1.3:like:BIRC2/BIRC3/BIRC6/BIRC7/NAIP/XIAP:likeclu:8/10/16	0000000000000113130001000000210000211131000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	BIR.HG1.3	BIR.HG1.3:like_BIRC2/BIRC3/BIRC6/BIRC7/NAIP/XIAP	like:BIRC2/BIRC3/BIRC6/BIRC7/NAIP/XIAP	like:BIRC2/BIRC3/BIRC6/BIRC7/NAIP/XIAP	BIR.HG1.3 | like:BIRC2/BIRC3/BIRC6/BIRC7/NAIP/XIAP	Readers	Readers	BIR	GA	1.1	2	NA	NA	38.5465535436468	14	14	BilCniTri,Porifera	2	BilCniTri,Porifera
BIR	BIR.HG1.8:BIRC7/NAIP	4023000000000003(29)70010000000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000	BIR.HG1.8	BIR.HG1.8:BIRC7/NAIP	BIRC7/NAIP	BIRC7/NAIP	BIR.HG1.8 | BIRC7/NAIP	Readers	Readers	BIR	GA	1.1	2	NA	NA	32.1592219096327	11	11	BilCniTri,Porifera	2	BilCniTri,Porifera
Bromodomain	Bromodomain.HG1.49:BRD2/BRD3/BRD4/BRDT	9810113127484241112211001121110212112011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Bromodomain.HG1.49	Bromodomain.HG1.49:BRD2/BRD3/BRD4/BRDT	BRD2/BRD3/BRD4/BRDT	BRD2/BRD3/BRD4/BRDT	Bromodomain.HG1.49 | BRD2/BRD3/BRD4/BRDT	Readers	Readers	Bromodomain	GA	1.1	2	NA	NA	73.8192847233264	35	35	BilCniTri,Mlei,Porifera	3	BilCniTri,Mlei,Porifera
Bromodomain	Bromodomain.HG3.6:BPTF	1101113113511101111111011111110101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030000000000000000000000	Bromodomain.HG3.6	Bromodomain.HG3.6:BPTF	BPTF	BPTF	Bromodomain.HG3.6 | BPTF	Readers	Readers	Bromodomain	GA	1.1	2	NA	NA	64.414179482555	30	30	BilCniTri,Mlei	2	BilCniTri,Mlei
Bromodomain	Bromodomain.HG5.1:SP100/SP140/SP140L/TRIM24/TRIM33/TRIM66	6510111111071001111212001211111100000110000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000	Bromodomain.HG5.1	Bromodomain.HG5.1:SP100/SP140/SP140L/TRIM24/TRIM33/TRIM66	SP100/SP140/SP140L/TRIM24/TRIM33/TRIM66	SP100/SP140/SP140L/TRIM24/TRIM33/TRIM66	Bromodomain.HG5.1 | SP100/SP140/SP140L/TRIM24/TRIM33/TRIM66	Readers	Readers	Bromodomain	GA	1.1	2	NA	NA	66.5848994053009	31	31	BilCniTri,Porifera	2	BilCniTri,Porifera
Chromo	Chromo.HG1.39:like:CDY1/CDY1B/CDY2A/CDY2B/CDYL/CDYL2:likeclu:46	0000103400010000000110000011000000000011000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000	Chromo.HG1.39	Chromo.HG1.39:like_CDY1/CDY1B/CDY2A/CDY2B/CDYL/CDYL2	like:CDY1/CDY1B/CDY2A/CDY2B/CDYL/CDYL2	like:CDY1/CDY1B/CDY2A/CDY2B/CDYL/CDYL2	Chromo.HG1.39 | like:CDY1/CDY1B/CDY2A/CDY2B/CDYL/CDYL2	Readers	Readers	Chromo,Chromo_shadow	GA	1.1	2	NA	NA	40.3534774774485	12	12	BilCniTri,Porifera	2	BilCniTri,Porifera
