gene	orthogroup	orthologous_to
Plabra_CEO99233	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Ulvmut_UM100_00271	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Schagg_82622	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Ehux_EOD08534	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Aplker_97916	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Gonavo_comp28520_c0_seq1_6_ORF9_370	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Ehux_EOD08940	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Sappar_KDO27809	SSrecog.HG1.0:like:SSRP1:likeclu:1	NA
Lepsey_KPI89612	SSrecog.HG1.1:SSRP1	SSRP1
Cpar_Cpar_evm1s7284	SSrecog.HG1.1:SSRP1	SSRP1
Chabra_GBG75548	SSrecog.HG1.1:SSRP1	SSRP1
Plafun_PRP80914	SSrecog.HG1.1:SSRP1	SSRP1
Bdis_KQK07179	SSrecog.HG1.1:SSRP1	SSRP1
Ttra_KNC52452	SSrecog.HG1.1:SSRP1	islike:SSRP1
Porumb_OSX76479.1	SSrecog.HG1.1:SSRP1	SSRP1
Aplker_47833	SSrecog.HG1.1:SSRP1	SSRP1
Cang_ORZ40141	SSrecog.HG1.1:SSRP1	SSRP1
Tcas_XP_973014.1	SSrecog.HG1.1:SSRP1	SSRP1
Ddis_EAL62292	SSrecog.HG1.1:SSRP1	SSRP1
Caulen_g5579.t1	SSrecog.HG1.1:SSRP1	SSRP1
Rigram_Gene.5050	SSrecog.HG1.1:SSRP1	SSRP1
Pisp_OUM58303.1	SSrecog.HG1.1:SSRP1	SSRP1
Ptyfla_pfl_40v0_9_20150316_1g8824.t1	SSrecog.HG1.1:SSRP1	SSRP1
Ehux_EOD18097	SSrecog.HG1.1:SSRP1	SSRP1
Vcar_XP_002955468.1	SSrecog.HG1.1:SSRP1	SSRP1
Otau_XP_022841318.1	SSrecog.HG1.1:SSRP1	SSRP1
Ctel_CapteP172235	SSrecog.HG1.1:SSRP1	SSRP1
Cpar_Cpar_evm2s3425	SSrecog.HG1.1:SSRP1	islike:SSRP1
Cocsub_XP_005645678.1	SSrecog.HG1.1:SSRP1	SSRP1
Sman_Smp_148930.1_pep	SSrecog.HG1.1:SSRP1	SSRP1
Smoe_EFJ10072	SSrecog.HG1.1:SSRP1	SSRP1
Dmel_FBpp0072151	SSrecog.HG1.1:SSRP1	SSRP1
Sbic_EES17824	SSrecog.HG1.1:SSRP1	SSRP1
Carmem_769.p1	SSrecog.HG1.1:SSRP1	SSRP1
Sarc_Sarc4_g22834T	SSrecog.HG1.1:SSRP1	SSRP1
Gefoke_MALSP_01394.mRNA.3	SSrecog.HG1.1:SSRP1	SSRP1
Mcir_OAD02738	SSrecog.HG1.1:SSRP1	SSRP1
Tthe_EAR94676	SSrecog.HG1.1:SSRP1	islike:SSRP1
Clim_evm14s205	SSrecog.HG1.1:SSRP1	SSRP1
Marpol_PTQ42255	SSrecog.HG1.1:SSRP1	SSRP1
Tvag_XP_001581267.1	SSrecog.HG1.1:SSRP1	SSRP1
Tielac_KYQ93791	SSrecog.HG1.1:SSRP1	SSRP1
Ancsig_Gene.26202	SSrecog.HG1.1:SSRP1	islike:SSRP1
Morvir_scaffold546.g2.t1	SSrecog.HG1.1:SSRP1	SSRP1
Meteor_CRO19MET_NODE_4105.p1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Amac_KNE56200	SSrecog.HG1.1:SSRP1	SSRP1
Spur_XP_030847095.1	SSrecog.HG1.1:SSRP1	SSRP1
Coerev_PIA17162.1	SSrecog.HG1.1:SSRP1	SSRP1
Azfi_s0270.g061166	SSrecog.HG1.1:SSRP1	SSRP1
Cmer_CMS034CT	SSrecog.HG1.1:SSRP1	SSRP1
Scer_YML069W	SSrecog.HG1.1:SSRP1	SSRP1
Emul_CDS41312.1	SSrecog.HG1.1:SSRP1	SSRP1
Mpus_XP_003063826.1	SSrecog.HG1.1:SSRP1	SSRP1
Clyhem_TCONS_00012089-protein	SSrecog.HG1.1:SSRP1	SSRP1
Oxytri_EJY67941	SSrecog.HG1.1:SSRP1	islike:SSRP1
Mlei_ML0922_g1_t1	SSrecog.HG1.1:SSRP1	SSRP1
Clyhem_TCONS_00012088-protein	SSrecog.HG1.1:SSRP1	SSRP1
Ehux_EOD09756	SSrecog.HG1.1:SSRP1	SSRP1
Skow_XP_002734443.1	SSrecog.HG1.1:SSRP1	SSRP1
Linana_g22491.t1	SSrecog.HG1.1:SSRP1	SSRP1
Ppat_PAC_32911219.CDS.1	SSrecog.HG1.1:SSRP1	SSRP1
Nvec_NVE708	SSrecog.HG1.1:SSRP1	SSRP1
Ngru_EFC39409	SSrecog.HG1.1:SSRP1	SSRP1
Chrtob_KOO34646.1	SSrecog.HG1.1:SSRP1	SSRP1
Secula_SECUL_05166.mRNA.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Spis_XP_022789747_1	SSrecog.HG1.1:SSRP1	SSRP1
Bremin_symbB.v1.2.013639.t1	SSrecog.HG1.1:SSRP1	SSRP1
Sacu_v1.1_s0073.g017158	SSrecog.HG1.1:SSRP1	SSRP1
Amac_KNE54554	SSrecog.HG1.1:SSRP1	SSRP1
Ihof_evm5s151	SSrecog.HG1.1:SSRP1	SSRP1
Nutlon_comp17972_c0_seq1.p1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Fabtro_Gene.22115	SSrecog.HG1.1:SSRP1	islike:SSRP1
Lpol_XP_013787241.2	SSrecog.HG1.1:SSRP1	SSRP1
Gefoke_MALSP_01394.mRNA.1	SSrecog.HG1.1:SSRP1	SSRP1
Alblai_CCA19069	SSrecog.HG1.1:SSRP1	SSRP1
Perkma_EER07769	SSrecog.HG1.1:SSRP1	islike:SSRP1
Linana_g30700.t1	SSrecog.HG1.1:SSRP1	SSRP1
Ptet_CAK76932	SSrecog.HG1.1:SSRP1	islike:SSRP1
Aurlim_44118	SSrecog.HG1.1:SSRP1	SSRP1
Fabtro_Gene.19316	SSrecog.HG1.1:SSRP1	SSRP1
Rirr_GBC27784	SSrecog.HG1.1:SSRP1	SSRP1
Azfi_s2556.g112165	SSrecog.HG1.1:SSRP1	SSRP1
Bnat_JGI_V11_19447	SSrecog.HG1.1:SSRP1	SSRP1
Falb_KCV70126	SSrecog.HG1.1:SSRP1	SSRP1
Manpla_Gene.43510	SSrecog.HG1.1:SSRP1	islike:SSRP1
Pfal_CZU00110	SSrecog.HG1.1:SSRP1	islike:SSRP1
Aque_Aqu2.1.34412_001	SSrecog.HG1.1:SSRP1	SSRP1
Chocri_XP_005716617.1	SSrecog.HG1.1:SSRP1	SSRP1
Cfra_CFRG1100T1	SSrecog.HG1.1:SSRP1	SSRP1
Exapal_XP_020913244.1	SSrecog.HG1.1:SSRP1	SSRP1
Maljak_MALJA_09528.mRNA.1	SSrecog.HG1.1:SSRP1	SSRP1
Tadh_P64155	SSrecog.HG1.1:SSRP1	SSRP1
Emue_0015g462a	SSrecog.HG1.1:SSRP1	SSRP1
Umbram_227989	SSrecog.HG1.1:SSRP1	SSRP1
Jakbah_JAKBA_07769.mRNA.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Phatri_Phatr3_EG02355.p1	SSrecog.HG1.1:SSRP1	SSRP1
Acoe_PIA62533.1	SSrecog.HG1.1:SSRP1	SSRP1
Hsap_ENSP00000278412.2	SSrecog.HG1.1:SSRP1	SSRP1
Jaklib_JAKLI_22276.mRNA.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Pbla_XP_018295566.1	SSrecog.HG1.1:SSRP1	SSRP1
Cgig_EKC29138	SSrecog.HG1.1:SSRP1	SSRP1
Atha_AT3G28730.1	SSrecog.HG1.1:SSRP1	SSRP1
Lgig_LotgiP207546	SSrecog.HG1.1:SSRP1	SSRP1
Pygbif_GCRY01003113.1.p1	SSrecog.HG1.1:SSRP1	SSRP1
Amobb2_AMBB2_08079.mRNA.1	SSrecog.HG1.1:SSRP1	SSRP1
Acas_ELR15616	SSrecog.HG1.1:SSRP1	SSRP1
Ulvmut_UM030_00091	SSrecog.HG1.1:SSRP1	SSRP1
Cvar_XP_005846264.1	SSrecog.HG1.1:SSRP1	SSRP1
Porpur_KAA8497855.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Plabra_CEP02588	SSrecog.HG1.1:SSRP1	SSRP1
Crei_PNW88436	SSrecog.HG1.1:SSRP1	SSRP1
Cneo_AAW45161	SSrecog.HG1.1:SSRP1	SSRP1
Coka_g15378.t1	SSrecog.HG1.1:SSRP1	SSRP1
Gefoke_MALSP_01394.mRNA.2	SSrecog.HG1.1:SSRP1	SSRP1
Plebac_Pbla_mRNA_3713	SSrecog.HG1.1:SSRP1	SSRP1
Maljak_MALJA_04791.mRNA.1	SSrecog.HG1.1:SSRP1	SSRP1
Sbic_EES02337	SSrecog.HG1.1:SSRP1	SSRP1
Mbre_EDQ90118	SSrecog.HG1.1:SSRP1	SSRP1
Bdis_KQK03080	SSrecog.HG1.1:SSRP1	SSRP1
Ncra_EAA26950	SSrecog.HG1.1:SSRP1	SSRP1
Rall_EPZ36196	SSrecog.HG1.1:SSRP1	SSRP1
Porpur_KAA8492588.1	SSrecog.HG1.1:SSRP1	SSRP1
Cint_ENSCINP00000000932.4	SSrecog.HG1.1:SSRP1	SSRP1
Malcal_MALCA_04437.mRNA.1	SSrecog.HG1.1:SSRP1	SSRP1
Notgen_g23517.t1	SSrecog.HG1.1:SSRP1	SSRP1
Diprot_Gene.19992	SSrecog.HG1.1:SSRP1	SSRP1
Plamic_ANCSI_11404.mRNA.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Sros_EGD83446	SSrecog.HG1.1:SSRP1	SSRP1
Pinf_PITG_14260T0	SSrecog.HG1.1:SSRP1	SSRP1
Sappar_KDO24805	SSrecog.HG1.1:SSRP1	SSRP1
Apla_XP_022102132.1	SSrecog.HG1.1:SSRP1	SSRP1
Perkma_EER15936	SSrecog.HG1.1:SSRP1	islike:SSRP1
Masbal_CACRSC010000094.1.p3	SSrecog.HG1.1:SSRP1	islike:SSRP1
Tgon_TGME49_261460-t26_1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Cavfas_EGG19873	SSrecog.HG1.1:SSRP1	SSRP1
Spom_SPBC609.05.1_pep	SSrecog.HG1.1:SSRP1	SSRP1
Retfil_ETO25474	SSrecog.HG1.1:SSRP1	islike:SSRP1
Dpul_EFX72246	SSrecog.HG1.1:SSRP1	SSRP1
Ramvar_GAV03684.1	SSrecog.HG1.1:SSRP1	SSRP1
Bden_EGF81219	SSrecog.HG1.1:SSRP1	SSRP1
Ocar_g8492.t1	SSrecog.HG1.1:SSRP1	SSRP1
Hetalb_XP_020438350.1	SSrecog.HG1.1:SSRP1	SSRP1
Hduj_OQV21802.1	SSrecog.HG1.1:SSRP1	SSRP1
Sacu_v1.1_s0161.g023935	SSrecog.HG1.1:SSRP1	SSRP1
Tpse_EED92519	SSrecog.HG1.1:SSRP1	SSRP1
Aque_Aqu2.1.34413_001	SSrecog.HG1.1:SSRP1	SSRP1
Schagg_35897	SSrecog.HG1.1:SSRP1	SSRP1
Mgut_XP_012840635.1	SSrecog.HG1.1:SSRP1	SSRP1
Ngad_EWM23164	SSrecog.HG1.1:SSRP1	SSRP1
Styinc_Gene9661_m9661	SSrecog.HG1.1:SSRP1	SSRP1
Esil_CBJ29726	SSrecog.HG1.1:SSRP1	SSRP1
Caulen_g5219.t1	SSrecog.HG1.1:SSRP1	SSRP1
Mvib_comp227308_c0_seq1_fr4	SSrecog.HG1.1:SSRP1	SSRP1
Drer_ENSDARP00000114529.1	SSrecog.HG1.1:SSRP1	SSRP1
Nk52_evm3s96	SSrecog.HG1.1:SSRP1	SSRP1
Hydvul_Sc4wPfr_1107.1.g29848.t1	SSrecog.HG1.1:SSRP1	SSRP1
Recame_RECAM_17476.mRNA.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Ptet_CAK85998	SSrecog.HG1.1:SSRP1	islike:SSRP1
Sphfal_Sphfalx12G053700.1.p	SSrecog.HG1.1:SSRP1	SSRP1
Cvel_771.t1-p1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Spun_KND01708	SSrecog.HG1.1:SSRP1	SSRP1
Gracho_PXF44763.1	SSrecog.HG1.1:SSRP1	SSRP1
Gpro_KXS14730	SSrecog.HG1.1:SSRP1	SSRP1
Concor_KXN67694	SSrecog.HG1.1:SSRP1	SSRP1
Phoaus_g1344.t1	SSrecog.HG1.1:SSRP1	SSRP1
Honfer_GBG25109	SSrecog.HG1.1:SSRP1	SSRP1
Eimten_CDJ42798	SSrecog.HG1.1:SSRP1	islike:SSRP1
Tetwil_Twilhelma_g26780.t2	SSrecog.HG1.1:SSRP1	SSRP1
Lcom_lcpid44913	SSrecog.HG1.1:SSRP1	SSRP1
Rhidel_EIE82287	SSrecog.HG1.1:SSRP1	SSRP1
Mgut_XP_012841387.1	SSrecog.HG1.1:SSRP1	SSRP1
Umay_KIS67315	SSrecog.HG1.1:SSRP1	SSRP1
Tmel_CAZ85979	SSrecog.HG1.1:SSRP1	SSRP1
Drer_ENSDARP00000118787.2	SSrecog.HG1.1:SSRP1	SSRP1
Aano_EGB06173	SSrecog.HG1.1:SSRP1	SSRP1
Spimul_5537_TR2812_c0_g1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Morelo_OAQ28082	SSrecog.HG1.1:SSRP1	SSRP1
Klenit_GAQ83368.1	SSrecog.HG1.1:SSRP1	SSRP1
Scil_scpid57136	SSrecog.HG1.1:SSRP1	SSRP1
Bralan_BL11428_evm30	SSrecog.HG1.1:SSRP1	SSRP1
Gonavo_comp29536_c0_seq1_6_ORF22_821	SSrecog.HG1.1:SSRP1	SSRP1
Andgod_ANDGO_02840.mRNA.1	SSrecog.HG1.1:SSRP1	SSRP1
Vitbra_CEL99991.1	SSrecog.HG1.1:SSRP1	islike:SSRP1
Exapal_XP_020913243.1	SSrecog.HG1.1:SSRP1	SSRP1
Cowc_KJE97086	SSrecog.HG1.1:SSRP1	SSRP1
