Accession,NumberOfAminoAcids,Coverage,PsmCount,PeptideGroupCount
Ddis_XP_629633,236,18.6440677966102,12,3
Ddis_XP_643542,187,9.09090909090909,3,2
Ddis_XP_647082,184,75.0,18,8
Ddis_XP_629115,1784,1.06502242152466,8,2
Ddis_XP_646781,2104,0.807984790874525,2,1
Ddis_XP_642043,157,26.7515923566879,16,4
Ddis_XP_635397,197,5.58375634517767,4,1
Ddis_XP_636241,678,3.09734513274336,9,2
Ddis_XP_640975,161,8.69565217391304,3,1
Ddis_XP_635697,720,0.833333333333333,1,1
Ddis_XP_635997,481,5.82120582120582,9,2
Ddis_XP_635846,416,5.52884615384615,8,3
Ddis_XP_646541,677,2.65878877400295,2,1
Ddis_XP_635917,1250,0.48,1,1
Ddis_XP_643911,709,1.12834978843441,4,1
Ddis_XP_641560,381,47.244094488189,19,4
Ddis_XP_640870,449,14.0311804008909,24,6
Ddis_XP_641988,91,16.4835164835165,2,1
Ddis_XP_639947,833,3.36134453781513,7,3
Ddis_XP_647262,1142,3.50262697022767,10,3
CON_007085262,650,5.38461538461539,6,3
Ddis_XP_637465,229,47.1615720524017,19,4
Ddis_XP_629872,211,21.3270142180095,30,7
CON_007060022,339,2.94985250737463,1,1
Ddis_XP_629475,97,50.5154639175258,2,2
Ddis_XP_001732984,245,3.26530612244898,4,1
Ddis_XP_647617,1097,0.546946216955333,2,1
Ddis_XP_635106,562,5.69395017793594,5,2
CON_007071011,359,10.0278551532033,3,2
Ddis_XP_643123,234,3.41880341880342,2,1
Ddis_XP_641911,577,4.33275563258232,4,1
Ddis_XP_628946,1106,0.54249547920434,2,1
Ddis_XP_638825,1312,1.29573170731707,3,1
Ddis_XP_643218,979,4.39223697650664,11,3
Ddis_XP_646757,966,6.83229813664596,12,4
Ddis_XP_641020,128,28.125,19,4
Ddis_XP_646786,1521,1.90664036817883,5,3
Ddis_XP_646455,825,1.21212121212121,1,1
Ddis_XP_637656|Histone_H2A,143,21.6783216783217,13,2
Ddis_XP_637361,234,5.55555555555556,1,1
Ddis_XP_642037,150,10.6666666666667,7,2
Ddis_XP_646371,334,32.0359281437126,47,9
Ddis_XP_638467,305,10.8196721311475,1,1
Ddis_XP_638412,104,6.73076923076923,5,1
Ddis_XP_636193,380,2.63157894736842,6,1
